n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,n_sims
40,250,2500,0.8,0.8,0.18003632669993264,-28.309257851301687,0.15892758194906204,2.011559998973769,0,0,0,78,NA
40,250,2500,0.8,0.8,0.19013223381393127,-28.812708674497262,-0.93273342481932,1.0137503224699373,0,0,0,53,NA
40,250,2500,0.8,0.8,0.20061410604153604,-27.998640940903684,-0.16431474970496973,1.585662050975345,0,0,0,64,NA
40,250,2500,0.8,0.95,0.010018806684180577,13.170672022209562,39.776040683943634,41.26519086670237,0,0,0,69,NA
40,250,2500,0.8,0.95,0.01999634446271763,-21.480362447042495,6.909004599608993,10.216785108458902,0,0,0,43,NA
40,250,2500,0.8,0.95,0.030009523093455007,-27.249473344295026,2.3682663428024915,6.015163436253887,0,0,0,52,NA
40,250,2500,0.8,0.95,0.03994759246720032,-29.09295383600845,1.2830509672353017,4.861736105731564,0,0,0,55,NA
40,250,2500,0.8,0.95,0.05000000238954469,-31.93709764126972,-0.2408387346860887,2.984493569633539,0,0,0,50,NA
40,250,2500,0.8,0.95,0.06025981645108948,-32.12633804261745,-0.52245222214243,2.7046235906500473,0,0,0,67,NA
40,250,2500,0.8,0.95,0.07008794667454693,-33.078469232565986,-0.9395800255253599,1.1778890468767913,0,0,0,71,NA
40,250,2500,0.8,0.95,0.07921247905807373,-31.150748667054952,0.09018814698210147,2.6267697588179146,0,0,0,61,NA
40,250,2500,0.8,0.95,0.09003243241758835,-30.435807390528158,0.9206787116527069,3.2181314098951233,0,0,0,61,NA
40,250,2500,0.8,0.95,0.09971693078917263,-30.29283805467545,0.41394599039025487,2.707975620027061,0,0,0,53,NA
40,250,2500,0.8,0.95,0.11016125111218047,-29.897537894018495,0.9125523021705509,2.6252544104495454,0,0,0,64,NA
40,250,2500,0.8,0.95,0.12050272654685983,-30.413286160332635,-0.6769868064664059,1.1321418080664716,0,0,0,60,NA
40,250,2500,0.8,0.95,0.12952923904899236,-29.136493434539094,1.0967973042704524,2.51379611271222,0,0,0,73,NA
40,250,2500,0.8,0.95,0.13962443590379064,-29.55812400505189,0.1767517417610589,1.5101395435531506,0,0,0,64,NA
40,250,2500,0.8,0.95,0.14916116627309708,-28.493432566247023,0.9766901208639823,2.2057633496994047,0,0,0,49,NA
40,250,2500,0.8,0.95,0.1597866652405128,-28.838389793968407,0.5740879894148352,1.5089811370546917,0,0,0,68,NA
40,250,2500,0.8,0.95,0.16969275235299386,-29.414592990302616,-0.5378381811097137,0.3203390812370691,0,0,0,58,NA
40,250,2500,0.8,0.95,0.18003632669993264,-27.532771397979513,1.1852030748513518,2.0048262885527426,0,0,0,57,NA
40,250,2500,0.8,0.95,0.19013223381393127,-27.706710617250195,0.5356153914625028,1.3019688931770634,0,0,0,60,NA
40,250,2500,0.8,0.95,0.20061410604153604,-27.237251142277785,0.7356622204872587,1.3160320578338753,0,0,0,60,NA
40,250,2500,0.8,0.99,0.010018806684180577,-17.861504190278357,12.553262481072942,14.852250189549714,0,0,0,50,NA
40,250,2500,0.8,0.99,0.01999634446271763,-32.47950562334265,-1.5669640807032645,2.647391701590172,0,0,0,45,NA
40,250,2500,0.8,0.99,0.030009523093455007,-32.051282298524775,0.5831280617779764,3.0282616471395998,0,0,0,70,NA
40,250,2500,0.8,0.99,0.03994759246720032,-33.20570330439619,-1.193758997029167,1.0552653291378276,0,0,0,58,NA
40,250,2500,0.8,0.99,0.05000000238954469,-31.507389910334823,0.4742675527046233,2.1626193448308855,0,0,0,76,NA
40,250,2500,0.8,0.99,0.06025981645108948,-31.499627810059607,0.6504121896488463,1.8525239371164401,0,0,0,60,NA
40,250,2500,0.8,0.99,0.07008794667454693,-31.176678727335435,0.5723527061906651,1.783819297724722,0,0,0,53,NA
40,250,2500,0.8,0.99,0.07921247905807373,-31.00261258989206,0.04288470256825702,1.3067050545956527,0,0,0,60,NA
40,250,2500,0.8,0.99,0.09003243241758835,-30.606198909567894,0.6456232338961997,1.3062190439360961,0,0,0,68,NA
40,250,2500,0.8,0.99,0.09971693078917263,-31.073695715403623,-0.3189581568871877,0.17295534521486372,0,0,0,62,NA
40,250,2500,0.8,0.99,0.11016125111218047,-30.179790434757283,0.933366970992498,1.2603527667325067,0,0,0,71,NA
40,250,2500,0.8,0.99,0.12050272654685983,-29.703677434925723,0.5532811636544618,0.9631765980050594,0,0,0,57,NA
40,250,2500,0.8,0.99,0.12952923904899236,-29.221809778174443,0.8802335100979254,1.387999813883982,0,0,0,50,NA
40,250,2500,0.8,0.99,0.13962443590379064,-29.064489796019874,0.843279394605755,1.1943520076991794,0,0,0,57,NA
40,250,2500,0.8,0.99,0.14916116627309708,-28.700563495087977,0.7041228719875103,1.023008364278119,0,0,0,59,NA
40,250,2500,0.8,0.99,0.1597866652405128,-28.200726984772235,1.0236276956741008,1.1537526401247535,0,0,0,63,NA
40,250,2500,0.8,0.99,0.16969275235299386,-28.2566058966681,0.30294582874614573,0.41341529665630794,0,0,0,64,NA
40,250,2500,0.8,0.99,0.18003632669993264,-27.74085456265153,0.7692080947310698,0.9592225548724608,0,0,0,53,NA
40,250,2500,0.8,0.99,0.19013223381393127,-27.12742092729772,1.0309887025482545,1.153212658722961,0,0,0,52,NA
