n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,hat_pi_SRG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full,n_sims
3000,300,20000,0.8,1,0.3,-39.98826203,0.003533399,0.003512859,0,0.030716709,0.005711952,0.005724909,0.9513,0,0,10000,NA
3000,3000,500,0.8,0.8,0.05,-24.4801906,0.029151006,0.033069286,0.9922,5.046233854,0.037991695,0.041268526,0.9774,0,0,10000,NA
3000,3000,500,0.8,0.8,0.3,-40.21336103,0.036014559,0.035870954,0.0871,-0.298260182,0.046219469,0.046376001,0.9508,0,0,10000,NA
3000,3000,500,0.8,0.95,0.05,-29.56540727,0.016491806,0.016602,0.8302,0.445820729,0.022592489,0.022634896,0.9407,0,0,10000,NA
3000,3000,500,0.8,0.95,0.3,-39.95331743,0.023620854,0.023599401,0.002,0.181879501,0.035361865,0.035017085,0.9444,0,0,10000,NA
3000,3000,500,0.8,1,0.05,-29.85172051,0.009163509,0.009151465,0.5902,0.441768016,0.015518279,0.015238271,0.9248,0,0,10000,NA
3000,3000,500,0.8,1,0.3,-40.07474012,0.020023602,0.019644543,0,-0.176506199,0.03222793,0.031812734,0.9452,0,0,10000,NA
3000,3000,5000,0.8,0.8,0.05,-30.50409635,0.015071661,0.015301366,0.8387,-0.826304825,0.016975959,0.017092351,0.9511,0,0,10000,NA
3000,3000,5000,0.8,0.8,0.3,-40.00565483,0.014895288,0.014937437,0,0.020889217,0.017019065,0.017124734,0.9547,0,0,10000,NA
3000,3000,5000,0.8,0.95,0.05,-29.95019105,0.007135409,0.007169667,0.4526,0.162115647,0.00862519,0.008660244,0.9532,0,0,10000,NA
3000,3000,5000,0.8,0.95,0.3,-40.00849662,0.008660855,0.008695477,0,-0.026678933,0.011886403,0.011959826,0.951,0,0,10000,NA
3000,3000,5000,0.8,1,0.05,-29.97953003,0.002949994,0.002932039,0.0021,0.109380964,0.004959845,0.004911588,0.9461,0,0,10000,NA
3000,3000,5000,0.8,1,0.3,-39.99885175,0.006466153,0.006420157,0,0.030815963,0.010460675,0.010415497,0.9485,0,0,10000,NA
3000,3000,20000,0.8,0.8,0.05,-30.16604506,0.012721363,0.012739552,0.7955,-0.176790586,0.013132349,0.013182394,0.9504,0,0,10000,NA
3000,3000,20000,0.8,0.8,0.3,-40.028401,0.011750512,0.011586779,0,-0.014777754,0.01182675,0.011742878,0.9496,0,0,10000,NA
3000,3000,20000,0.8,0.95,0.05,-30.12179158,0.005731394,0.005710241,0.2387,-0.106499689,0.006149225,0.006164184,0.95,0,0,10000,NA
3000,3000,20000,0.8,0.95,0.3,-40.01480478,0.006049315,0.00595177,0,-0.018895605,0.007354874,0.007248678,0.9451,0,0,10000,NA
3000,3000,20000,0.8,1,0.05,-29.99105894,0.001478476,0.001492678,0,-0.023607936,0.002458609,0.002487561,0.9539,0,0,10000,NA
3000,3000,20000,0.8,1,0.3,-40.00515417,0.003541295,0.003511173,0,-0.013351742,0.005732615,0.005720973,0.9497,0,0,10000,NA
