n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,n_sims
30,3000,5000,0.8,0.95,0.05,0.8443136534273116,0.00914728505200986,0.009019558369152874,0.953,NA
30,3000,5000,0.8,0.95,0.3,1.0913959894634322,0.03253976458247698,0.031702691924435734,0.9229,NA
30,3000,5000,0.8,1,0.05,0.9224775718404687,0.006020611608980498,0.005878498627061597,0.9394,NA
30,3000,5000,0.8,1,0.3,0.7227522492486149,0.03007350443465669,0.02901508646682949,0.921,NA
30,3000,20000,0.8,0.8,0.05,1.448752227643915,0.014446350521178012,0.014458045235635408,0.9607,NA
30,3000,20000,0.8,0.8,0.3,1.496620986731978,0.04144220361372062,0.03998490811132856,0.9167,NA
30,3000,20000,0.8,0.95,0.05,1.0272687590024976,0.007829633510465575,0.007718449782809215,0.9531,NA
30,3000,20000,0.8,0.95,0.3,0.9895795245819332,0.03194326030533042,0.03065996712224378,0.9143,NA
30,3000,20000,0.8,1,0.05,0.8433801671382246,0.005139807179653322,0.005011176973568984,0.9241,NA
30,3000,20000,0.8,1,0.3,0.8180539196276001,0.029180746188289017,0.028293043091683522,0.9088,NA
300,30,500,0.8,0.8,0.05,45.00464643127108,0.07410631878549398,0.12686457702142753,0.9133,NA
300,30,500,0.8,0.8,0.3,-3.4647387836972965,0.09763714010048767,0.09906535363963136,0.9294,NA
300,30,500,0.8,0.95,0.05,11.128460404216513,0.041225337648240226,0.051119989859086515,0.7823,NA
300,30,500,0.8,0.95,0.3,-0.788774584865241,0.04848411298771924,0.04663135266201765,0.9183,NA
300,30,500,0.8,1,0.05,-0.0780245896680326,0.011073557362570402,0.01097870587045911,0.9403,NA
300,30,500,0.8,1,0.3,0.1633586159118424,0.025587005080583036,0.025403305963187715,0.9492,NA
300,30,5000,0.8,0.8,0.05,40.8698273040238,0.07175297751626865,0.12339319345460187,0.8935,NA
300,30,5000,0.8,0.8,0.3,-3.1256933756400227,0.09185538099358356,0.0916584864207145,0.9129,NA
300,30,5000,0.8,0.95,0.05,10.561196830600347,0.03876252899618973,0.04686304233563003,0.7803,NA
300,30,5000,0.8,0.95,0.3,-0.5273757786985097,0.041488102731055874,0.037810025266646584,0.7878,NA
300,30,5000,0.8,1,0.05,0.13035527164244332,0.00377919110327502,0.0037564590866628928,0.95,NA
300,30,5000,0.8,1,0.3,0.09069234317810038,0.01165501984861761,0.011520061059062676,0.9488,NA
300,30,20000,0.8,0.8,0.05,42.33971778200157,0.07186404467267965,0.12258958521772384,0.8794,NA
300,30,20000,0.8,0.8,0.3,-3.1919931109945328,0.09181568202168787,0.09123044932652953,0.9046,NA
300,30,20000,0.8,0.95,0.05,9.880725943558613,0.0383452867894224,0.04653613102137699,0.7849,NA
300,30,20000,0.8,0.95,0.3,-0.6335156082400983,0.040988523173345455,0.03688761391181625,0.7821,NA
300,30,20000,0.8,1,0.05,0.06102166939246645,0.0022790291984973302,0.002258561815564879,0.9484,NA
300,30,20000,0.8,1,0.3,0.07441994857089926,0.009584300384502722,0.009470679989821549,0.946,NA
300,300,500,0.8,0.8,0.05,5.881013625659972,0.04104334377080141,0.048531352877818686,0.9696,NA
300,300,500,0.8,0.8,0.3,-0.1696700903136746,0.046659272075174986,0.04680720048013452,0.9534,NA
300,300,500,0.8,0.95,0.05,-0.6824043941701802,0.02293757321361165,0.023293285681778624,0.9631,NA
300,300,500,0.8,0.95,0.3,0.16110843895226584,0.0304354484003469,0.030611008737853378,0.9508,NA
300,300,500,0.8,1,0.05,0.4566442210136301,0.01120207238075475,0.011008223886061326,0.9367,NA
300,300,500,0.8,1,0.3,0.1374794633228575,0.025596014624492222,0.02541495282307747,0.9477,NA
300,300,5000,0.8,0.8,0.05,0.3831117158271946,0.033858653330367264,0.03824755784281203,0.9601,NA
300,300,5000,0.8,0.8,0.3,-0.22603907459308367,0.031211492343960943,0.03168782214473298,0.9551,NA
300,300,5000,0.8,0.95,0.05,-0.3622285736775699,0.017095214646969135,0.016861653368916322,0.9382,NA
300,300,5000,0.8,0.95,0.3,0.048827707211466606,0.01738220350845335,0.017231998141417394,0.9468,NA
300,300,5000,0.8,1,0.05,0.0978085124406225,0.003803626386566815,0.0037568335438185217,0.9434,NA
300,300,5000,0.8,1,0.3,0.14382783512291905,0.011560278616390769,0.01153397021680813,0.9485,NA
300,300,20000,0.8,0.8,0.05,1.5716082105809297,0.033155401882997766,0.0372071910799874,0.959,NA
300,300,20000,0.8,0.8,0.3,-0.33910574053467685,0.03013039434191518,0.030085110862600146,0.9499,NA
300,300,20000,0.8,0.95,0.05,0.1403808946972146,0.016146874375868765,0.016159265074699777,0.9392,NA
300,300,20000,0.8,0.95,0.3,0.008186269999377327,0.015517405997393414,0.01555816621858757,0.9547,NA
300,300,20000,0.8,1,0.05,0.07044548933853034,0.0022426462285593625,0.0022588221656927826,0.9522,NA
