n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,covers_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.12952923904899236,0.797325,0.7988120000000001,0.2537812,0.04420380383279373,0.04358379797891035,0.854,0.049407676122049084,0.045057340004904974,0.945,0.04731330021896956,0.04107160598141732,0.914,0,937,0,0,-31.922381226525022,-2.221865435021042,0.7037432590687654
40,250,2500,0.8,0.8,0.13962443590379064,0.80065,0.801056,0.2586064,0.04158331772025001,0.04287186656634259,0.874,0.04668661915412958,0.04372622542771544,0.966,0.044013961069227885,0.040056374155913385,0.926,0,937,0,0,-29.060054949357703,4.9013078491477415,3.2828059686019144
40,250,2500,0.8,0.8,0.14916116627309708,0.801225,0.8002560000000001,0.2630512,0.04335433246332769,0.0429169060297751,0.813,0.045395008624447314,0.044210766804211536,0.96,0.04529066116335163,0.03982433853559823,0.919,0,925,0,0,-29.545484770592232,-0.4688604599290217,1.885513169864915
40,250,2500,0.8,0.8,0.1597866652405128,0.79885,0.802,0.2681168,0.042421487751100294,0.04276241311686301,0.848,0.0449345508076814,0.043498280212835035,0.948,0.04418714707964333,0.03922822556323995,0.914,0,942,0,0,-27.101240106661823,1.4362119039614154,4.019279956077476
40,250,2500,0.8,0.8,0.16969275235299386,0.80325,0.800848,0.272638,0.04359544807624965,0.04260474279080888,0.799,0.04428407699966178,0.04435258133073051,0.953,0.045251057545590216,0.03881791802851733,0.902,0,945,0,0,-28.365096360035796,2.3383010757459854,2.417827530259056
40,250,2500,0.8,0.8,0.18003632669993264,0.80155,0.799108,0.2773028,0.04355137723638657,0.042995918213149006,0.776,0.04038097538502538,0.04469902807107685,0.949,0.04481184303706732,0.03885901486764879,0.912,0,935,0,0,-29.347769850258263,-1.1402522653182448,1.0816591067095562
40,250,2500,0.8,0.8,0.19013223381393127,0.79945,0.79884,0.282014,0.044789587194795644,0.043323554274683346,0.74,0.0463965421002646,0.0455829450806629,0.956,0.046528411849890955,0.03870144274353535,0.905,0,954,0,0,-28.836746804360672,0.4723841855733168,1.4072904656026892
40,250,2500,0.8,0.8,0.20061410604153604,0.799275,0.800668,0.287044,0.0436105131267121,0.04302639404551062,0.755,0.04573566404564281,0.04568517526337907,0.951,0.04540003549717566,0.037945767574966004,0.902,0,941,0,0,-27.12432294809795,-3.825991179836228,2.672129521842816
40,250,2500,0.8,0.95,0.010018806684180577,0.8025,0.950244,0.054866,0.012903798159832119,0.01928235452012996,0.961,0.014089150858085337,0.020811497135224642,0.953,0.014375016086502065,0.019380830202754325,0.943,0,929,0,0,18.207185169512346,46.44141483973096,46.564024394122605
40,250,2500,0.8,0.95,0.01999634446271763,0.80125,0.949804,0.0600896,0.014679319165021841,0.019413115817330427,0.977,0.017442223431690617,0.020774269449150742,0.953,0.016926829050058465,0.01955049096758122,0.941,0,944,0,0,-19.489664158042867,1.0514839648187002,10.958267892479812
40,250,2500,0.8,0.95,0.030009523093455007,0.7992,0.9498679999999999,0.064798,0.0159565470301399,0.019454740326316423,0.987,0.01912539379756632,0.020025377197564788,0.968,0.01820307365255548,0.019596754369797745,0.943,0,933,0,0,-29.540849848121212,8.139004712693874,2.862763890748014
40,250,2500,0.8,0.95,0.03994759246720032,0.79985,0.950788,0.0701808,0.017716256121087747,0.019320788237561757,0.981,0.01799540751263391,0.020597987528222082,0.961,0.019499709803293085,0.019449685213317858,0.942,0,939,0,0,-28.972003722796916,1.3196885846823871,5.985037338479441
40,250,2500,0.8,0.95,0.05000000238954469,0.801775,0.950132,0.0754172,0.01925522359843567,0.019424278140297003,0.911,0.022429285664559807,0.02063015352472763,0.947,0.02121878933840907,0.019501756166506436,0.924,0,952,0,0,-31.123880973164844,-5.416132717452402,3.984695035845335
40,250,2500,0.8,0.95,0.06025981645108948,0.7984,0.9497,0.08059,0.01812629080202044,0.01965590931171249,0.892,0.019153635340456006,0.021128721387099078,0.959,0.019733266800688914,0.019673404393804522,0.934,0,947,0,0,-32.51801795295604,0.3392969104595225,2.443420290961493
40,250,2500,0.8,0.95,0.07008794667454693,0.800925,0.950148,0.0859528,0.019048032363466763,0.019603858304364317,0.855,0.02137422874058441,0.02169024292981725,0.956,0.020432854620045363,0.01952814329555282,0.93,0,943,0,0,-31.34176236391658,-0.5086983662127192,2.664421766962899
40,250,2500,0.8,0.95,0.07921247905807373,0.799025,0.949668,0.0906608,0.019775644487361806,0.019857166521641288,0.784,0.021249242339241546,0.021950185138329838,0.947,0.021773017964941674,0.01965627996214089,0.922,0,947,0,0,-31.741350342834032,1.313579929593418,2.020967578989751
40,250,2500,0.8,0.95,0.09003243241758835,0.801225,0.9499879999999999,0.0966,0.01987703047139976,0.019869389352505634,0.726,0.021042958275780108,0.022584565014551937,0.948,0.02200609005828368,0.019519285924294076,0.907,0,952,0,0,-30.909947605010068,-2.9778168460772694,2.280097996390021
40,250,2500,0.8,0.95,0.09971693078917263,0.800575,0.950236,0.1017624,0.02070214862174249,0.020005853424724895,0.682,0.022987955336571865,0.022611023068674192,0.954,0.02268216657822103,0.01948979506539021,0.905,0,938,0,0,-30.45405630028451,-1.380685145082042,2.258714616340096
40,250,2500,0.8,0.95,0.11016125111218047,0.797075,0.9506239999999999,0.1073628,0.0200853689468844,0.02023435209237278,0.638,0.022953362317209236,0.022638250276970855,0.963,0.022202104861203914,0.019480253990601496,0.914,0,948,0,0,-29.377116679876867,-0.6805124999398985,3.129370931759364
40,250,2500,0.8,0.95,0.12050272654685983,0.802225,0.950112,0.112892,0.01956221201470209,0.020309767316239076,0.552,0.02555846968626768,0.022642315130491836,0.954,0.02223953381811656,0.019416572426246698,0.917,0,935,0,0,-30.2913833625121,-1.79854641907591,1.1927225042715326
40,250,2500,0.8,0.95,0.12952923904899236,0.798575,0.950352,0.1180528,0.019965362267420315,0.020602506059238797,0.527,0.024016354607105262,0.023319172366620365,0.964,0.022692562025978528,0.019431357045639433,0.901,0,956,0,0,-29.250302290498098,4.300095383085641,2.1362378678688367
40,250,2500,0.8,0.95,0.13962443590379064,0.798775,0.950436,0.1235012,0.020224230422179003,0.020808810392040095,0.474,0.026596036939752956,0.02336611005236672,0.959,0.023255543912209912,0.01937206048824465,0.9,0,952,0,0,-29.020363241035206,-0.1348198465729311,2.01259455957274
40,250,2500,0.8,0.95,0.14916116627309708,0.799975,0.9489639999999999,0.128994,0.020674104221931257,0.021208350230322238,0.421,0.024350303636585188,0.025065834694164162,0.954,0.023928050872614914,0.019553031334855402,0.888,0,935,0,0,-29.864130010920963,1.3915276560685905,0.9156478749483381
40,250,2500,0.8,0.95,0.1597866652405128,0.801375,0.950224,0.1352236,0.021093205727317845,0.021258258316810698,0.395,0.02550450334679546,0.024494718869606052,0.95,0.024570938648039567,0.01924937760388137,0.873,0,931,0,0,-28.54455070164252,-0.20134892769260257,1.7478534795769431
40,250,2500,0.8,0.95,0.16969275235299386,0.802325,0.950156,0.1405804,0.02160930724196081,0.02148485752367958,0.354,0.027400901909930095,0.02535737930660206,0.955,0.024756435243079185,0.019193151570026788,0.879,0,925,0,0,-28.593739671688322,-1.692699620752201,1.0842065781489905
40,250,2500,0.8,0.95,0.18003632669993264,0.79865,0.949584,0.1465412,0.02149428964824944,0.021987564030344377,0.344,0.02391243379919266,0.0267749919572339,0.957,0.02496255707107273,0.019315540614725565,0.876,0,945,0,0,-28.366074201838785,1.995116741450764,1.1287703803266447
