n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,n_sims
30,3000,20000,0.8,1,0.3,0.9011293367268507,NA
30,3000,20000,0.95,0.8,0.005,40.30391840931074,NA
30,3000,20000,0.95,0.8,0.05,-0.14577932995915588,NA
30,3000,20000,0.95,0.8,0.3,0.2710867759871209,NA
30,3000,20000,0.95,0.95,0.005,8.614926787707688,NA
30,3000,20000,0.95,0.95,0.05,0.1082170795319165,NA
30,3000,20000,0.95,0.95,0.3,0.21000299601361036,NA
30,3000,20000,0.95,1,0.005,0.018354571101903555,NA
30,3000,20000,0.95,1,0.05,0.1064519595788127,NA
30,3000,20000,0.95,1,0.3,0.2721888994528891,NA
30,3000,20000,1,0.8,0.005,35.95218543601484,NA
30,3000,20000,1,0.8,0.05,0.05426054245430412,NA
30,3000,20000,1,0.8,0.3,-0.02309776981148278,NA
30,3000,20000,1,0.95,0.005,6.098998906613195,NA
30,3000,20000,1,0.95,0.05,0.09339078770663478,NA
30,3000,20000,1,0.95,0.3,-0.011571629326819396,NA
30,3000,20000,1,1,0.005,0.04580000000000556,NA
30,3000,20000,1,1,0.05,-0.008530000000006588,NA
30,3000,20000,1,1,0.3,0.0035133333333344416,NA
300,30,500,0.8,0.8,0.005,834.2392263088723,NA
300,30,500,0.8,0.8,0.05,44.723491220154315,NA
300,30,500,0.8,0.8,0.3,-3.2146507025370883,NA
300,30,500,0.8,0.95,0.005,366.4939283662451,NA
300,30,500,0.8,0.95,0.05,12.06884700708892,NA
300,30,500,0.8,0.95,0.3,-0.5541743382480776,NA
300,30,500,0.8,1,0.005,0.3779416157040534,NA
300,30,500,0.8,1,0.05,-0.21209105681772866,NA
300,30,500,0.8,1,0.3,0.11086524748726845,NA
300,30,500,0.95,0.8,0.005,669.7159110138788,NA
300,30,500,0.95,0.8,0.05,30.295858451835244,NA
300,30,500,0.95,0.8,0.3,-2.120467521682786,NA
300,30,500,0.95,0.95,0.005,297.58460084166654,NA
300,30,500,0.95,0.95,0.05,6.29885608877613,NA
300,30,500,0.95,0.95,0.3,-0.34908493054948886,NA
300,30,500,0.95,1,0.005,0.21235311581754845,NA
300,30,500,0.95,1,0.05,0.31371902475882396,NA
300,30,500,0.95,1,0.3,0.10584412113510504,NA
300,30,500,1,0.8,0.005,615.6638791311309,NA
300,30,500,1,0.8,0.05,28.6000933952904,NA
300,30,500,1,0.8,0.3,-1.811315288952009,NA
300,30,500,1,0.95,0.005,282.75030541871905,NA
300,30,500,1,0.95,0.05,4.707511405835598,NA
300,30,500,1,0.95,0.3,-0.2823348812773056,NA
300,30,500,1,1,0.005,0.596000000000086,NA
300,30,500,1,1,0.05,-0.6243999999999139,NA
300,30,500,1,1,0.3,0.03980000000001575,NA
300,30,5000,0.8,0.8,0.005,814.9951222049488,NA
300,30,5000,0.8,0.8,0.05,43.13324887076164,NA
300,30,5000,0.8,0.8,0.3,-3.144078401113082,NA
300,30,5000,0.8,0.95,0.005,362.2005533679894,NA
300,30,5000,0.8,0.95,0.05,8.720504825221589,NA
300,30,5000,0.8,0.95,0.3,-0.535539108372692,NA
300,30,5000,0.8,1,0.005,-0.11645192392774686,NA
300,30,5000,0.8,1,0.05,-0.03919960781199883,NA
300,30,5000,0.8,1,0.3,0.07731346919157926,NA
300,30,5000,0.95,0.8,0.005,654.9021497278604,NA
300,30,5000,0.95,0.8,0.05,30.842684497985548,NA
300,30,5000,0.95,0.8,0.3,-2.4980050332086097,NA
300,30,5000,0.95,0.95,0.005,311.82283563922766,NA
300,30,5000,0.95,0.95,0.05,5.5523954020082895,NA
300,30,5000,0.95,0.95,0.3,-0.4477692923312941,NA
300,30,5000,0.95,1,0.005,-0.25539014753035366,NA
300,30,5000,0.95,1,0.05,0.00598426030914978,NA
300,30,5000,0.95,1,0.3,-0.027939983916850746,NA
300,30,5000,1,0.8,0.005,610.2979923034824,NA
300,30,5000,1,0.8,0.05,25.55980415713024,NA
300,30,5000,1,0.8,0.3,-2.2518691297890676,NA
300,30,5000,1,0.95,0.005,287.68955862068964,NA
300,30,5000,1,0.95,0.05,3.663844685276404,NA
300,30,5000,1,0.95,0.3,-0.5266656650166901,NA
300,30,5000,1,1,0.005,0.16559999999986655,NA
300,30,5000,1,1,0.05,0.04823999999999107,NA
300,30,5000,1,1,0.3,0.025133333333334416,NA
300,30,20000,0.8,0.8,0.005,813.1672030685127,NA
300,30,20000,0.8,0.8,0.05,42.35587128147325,NA
300,30,20000,0.8,0.8,0.3,-2.7270305311205556,NA
300,30,20000,0.8,0.95,0.005,369.1796756223805,NA
300,30,20000,0.8,0.95,0.05,8.651719398439436,NA
300,30,20000,0.8,0.95,0.3,-0.4502696972727242,NA
300,30,20000,0.8,1,0.005,0.09531895097739107,NA
300,30,20000,0.8,1,0.05,0.11086554542671934,NA
300,30,20000,0.8,1,0.3,0.05400874718105205,NA
300,30,20000,0.95,0.8,0.005,630.2231590795268,NA
300,30,20000,0.95,0.8,0.05,29.39125929911443,NA
300,30,20000,0.95,0.8,0.3,-2.4060926920088654,NA
300,30,20000,0.95,0.95,0.005,301.00264870363696,NA
300,30,20000,0.95,0.95,0.05,5.270993229288159,NA
300,30,20000,0.95,0.95,0.3,-0.5648615282934921,NA
300,30,20000,0.95,1,0.005,0.020720142931973662,NA
300,30,20000,0.95,1,0.05,0.005718610102650734,NA
300,30,20000,0.95,1,0.3,0.0052815193667399285,NA
300,30,20000,1,0.8,0.005,587.148913830576,NA
300,30,20000,1,0.8,0.05,25.833211283881887,NA
300,30,20000,1,0.8,0.3,-2.184120549120039,NA
300,30,20000,1,0.95,0.005,284.40510344827584,NA
300,30,20000,1,0.95,0.05,2.7343558949096956,NA
300,30,20000,1,0.95,0.3,-0.49494725704013476,NA
300,30,20000,1,1,0.005,0.12489999999998683,NA
300,30,20000,1,1,0.05,0.017319999999987346,NA
300,30,20000,1,1,0.3,-0.004386666666670684,NA
300,300,500,0.8,0.8,0.005,339.28436551509697,NA
300,300,500,0.8,0.8,0.05,6.534353475282694,NA
300,300,500,0.8,0.8,0.3,-0.07329350190578751,NA
300,300,500,0.8,0.95,0.005,116.10797368236439,NA
300,300,500,0.8,0.95,0.05,0.514109254304021,NA
300,300,500,0.8,0.95,0.3,0.0028185769150127866,NA
300,300,500,0.8,1,0.005,0.3959394773920405,NA
300,300,500,0.8,1,0.05,0.10193549169168481,NA
300,300,500,0.8,1,0.3,-0.057180292460249735,NA
300,300,500,0.95,0.8,0.005,262.99929491584794,NA
300,300,500,0.95,0.8,0.05,3.496196205412472,NA
300,300,500,0.95,0.8,0.3,-0.3055006217661712,NA
300,300,500,0.95,0.95,0.005,97.04832804421454,NA
300,300,500,0.95,0.95,0.05,-0.4352331592653996,NA
300,300,500,0.95,0.95,0.3,-0.026072462613047076,NA
300,300,500,0.95,1,0.005,0.34989286513995715,NA
300,300,500,0.95,1,0.05,0.19188385022896048,NA
300,300,500,0.95,1,0.3,0.05668073111704993,NA
300,300,500,1,0.8,0.005,239.64151657201435,NA
300,300,500,1,0.8,0.05,2.3280897768342825,NA
