n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full,n_sims
300,300,20000,0.8,0.95,0.3,-39.790270635170565,0.27049834579491916,0,0,1000,NA
300,300,20000,0.8,1,0.05,-29.81574059401716,0.20252694924970116,0,0,1000,NA
300,300,20000,0.8,1,0.3,-39.90928811792686,0.13986845594500993,0,0,1000,NA
300,3000,500,0.8,0.8,0.05,-24.71835382474659,5.937009051180719,0,0,1000,NA
300,3000,500,0.8,0.8,0.3,-39.58968345334897,0.5200267152582668,0,0,1000,NA
300,3000,500,0.8,0.95,0.05,-30.214462103887158,-2.4186275506130617,0,0,1000,NA
300,3000,500,0.8,0.95,0.3,-39.89176585039378,0.19538373455357805,0,0,1000,NA
300,3000,500,0.8,1,0.05,-30.07616466094727,-0.44662377910324735,0,0,1000,NA
300,3000,500,0.8,1,0.3,-39.88412848596576,0.3937420705215263,0,0,1000,NA
300,3000,5000,0.8,0.8,0.05,-30.225301781747813,-0.4924176734965313,0,0,1000,NA
300,3000,5000,0.8,0.8,0.3,-39.84954500525008,0.3788012767760122,0,0,1000,NA
300,3000,5000,0.8,0.95,0.05,-29.58205331128262,0.9100013915861738,0,0,1000,NA
300,3000,5000,0.8,0.95,0.3,-40.011587082679434,-0.02246189400423315,0,0,1000,NA
300,3000,5000,0.8,1,0.05,-29.807947155347428,0.33921428150511523,0,0,1000,NA
300,3000,5000,0.8,1,0.3,-39.93199473047724,0.11720114241013195,0,0,1000,NA
300,3000,20000,0.8,0.8,0.05,-29.172126901807662,0.7605212318837762,0,0,1000,NA
300,3000,20000,0.8,0.8,0.3,-39.959943262359836,0.08189094325724197,0,0,1000,NA
300,3000,20000,0.8,0.95,0.05,-29.883907717356244,0.18001747811047242,0,0,1000,NA
300,3000,20000,0.8,0.95,0.3,-40.057624207202515,0.023654550565984277,0,0,1000,NA
300,3000,20000,0.8,1,0.05,-29.86328386788596,0.06605172460406872,0,0,1000,NA
300,3000,20000,0.8,1,0.3,-39.97307421153461,0.028809684581447097,0,0,1000,NA
3000,300,500,0.8,0.8,0.05,-23.608059772219345,1.373795391496735,0,0,1000,NA
3000,300,500,0.8,0.8,0.3,-40.19021119648019,0.24221189582003996,0,0,1000,NA
3000,300,500,0.8,0.95,0.05,-29.369337047133918,0.42077969750803357,0,0,1000,NA
3000,300,500,0.8,0.95,0.3,-39.45694484939586,0.40139075238060373,0,0,1000,NA
3000,300,500,0.8,1,0.05,-29.212678015556865,0.5873941345416189,0,0,1000,NA
3000,300,500,0.8,1,0.3,-39.81680099172828,0.5080433616351243,0,0,1000,NA
3000,300,5000,0.8,0.8,0.05,-24.47341584003083,0.8015471430961318,0,0,1000,NA
3000,300,5000,0.8,0.8,0.3,-40.553132689989596,-0.41243075024096265,0,0,1000,NA
3000,300,5000,0.8,0.95,0.05,-31.50008302203508,-1.9691171072372116,0,0,1000,NA
3000,300,5000,0.8,0.95,0.3,-39.654224304505654,0.23529812367195646,0,0,1000,NA
3000,300,5000,0.8,1,0.05,-30.42684342006288,-0.4764547369956046,0,0,1000,NA
3000,300,5000,0.8,1,0.3,-39.94019802401494,-6.165242653066727e-4,0,0,1000,NA
3000,300,20000,0.8,0.8,0.05,-24.009248542412944,1.5470807730532943,0,0,1000,NA
3000,300,20000,0.8,0.8,0.3,-40.639518747398576,-0.6213977780168967,0,0,1000,NA
3000,300,20000,0.8,0.95,0.05,-29.966170121021662,-0.21837895688613107,0,0,1000,NA
3000,300,20000,0.8,0.95,0.3,-40.105800509404254,-0.08290368777963408,0,0,1000,NA
3000,300,20000,0.8,1,0.05,-30.156115991797073,-0.18508410036846557,0,0,1000,NA
3000,300,20000,0.8,1,0.3,-40.01301634891322,-0.03491856425384225,0,0,1000,NA
3000,3000,500,0.8,0.8,0.05,-23.092607302838353,5.466239892978646,0,0,1000,NA
3000,3000,500,0.8,0.8,0.3,-40.42531519459306,-0.3983720383244164,0,0,1000,NA
3000,3000,500,0.8,0.95,0.05,-30.1635882778785,0.9093878629905655,0,0,1000,NA
3000,3000,500,0.8,0.95,0.3,-40.375683859523875,-0.41611834209509535,0,0,1000,NA
3000,3000,500,0.8,1,0.05,-30.065295602942935,-0.05274647564047774,0,0,1000,NA
3000,3000,500,0.8,1,0.3,-39.934322121244776,-0.05565706737263125,0,0,1000,NA
3000,3000,5000,0.8,0.8,0.05,-29.5646943405173,0.12197765103587332,0,0,1000,NA
3000,3000,5000,0.8,0.8,0.3,-40.008746105718764,0.06288745854395503,0,0,1000,NA
3000,3000,5000,0.8,0.95,0.05,-29.754077316875666,0.47823968177294895,0,0,1000,NA
3000,3000,5000,0.8,0.95,0.3,-39.941563178762976,-0.0218844833390075,0,0,1000,NA
3000,3000,5000,0.8,1,0.05,-30.02237667584398,0.25285604179065,0,0,1000,NA
3000,3000,5000,0.8,1,0.3,-39.97312799758638,0.040710797421572575,0,0,1000,NA
3000,3000,20000,0.8,0.8,0.05,-29.783821776285368,0.459142862072201,0,0,1000,NA
3000,3000,20000,0.8,0.8,0.3,-40.00975663039103,0.01011398568390165,0,0,1000,NA
3000,3000,20000,0.8,0.95,0.05,-30.771923731349695,-0.5276449104176378,0,0,1000,NA
3000,3000,20000,0.8,0.95,0.3,-40.02552601932684,-0.046422642281292635,0,0,1000,NA
3000,3000,20000,0.8,1,0.05,-30.011516147858572,-0.08791411275584082,0,0,1000,NA
3000,3000,20000,0.8,1,0.3,-40.03135528008112,-0.03612788022276196,0,0,1000,NA
