n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi
300,30,5000,0.95,0.7,0.05,46.012594342881656
300,30,5000,0.95,0.7,0.3,-4.227690275617702
300,30,5000,0.95,0.95,0.005,302.43525162008115
300,30,5000,0.95,0.95,0.05,5.943051546262943
300,30,5000,0.95,0.95,0.3,-0.47473840381891586
300,30,5000,0.95,1,0.005,-0.15103287008188734
300,30,5000,0.95,1,0.05,5.241878363454466e-4
300,30,5000,0.95,1,0.3,-5.104975992302012e-4
300,30,5000,1,0.7,0.005,785.387520982153
300,30,5000,1,0.7,0.05,39.48685017231013
300,30,5000,1,0.7,0.3,-3.31124730195607
300,30,5000,1,0.95,0.005,287.80186206896553
300,30,5000,1,0.95,0.05,4.248453212917349
300,30,5000,1,0.95,0.3,-0.461562120854094
300,30,5000,1,1,0.005,0.16239999999985086
300,30,5000,1,1,0.05,0.04859999999999587
300,30,5000,1,1,0.3,0.024666666666672832
300,30,20000,0.7,0.7,0.005,1262.6804130941612
300,30,20000,0.7,0.7,0.05,84.36714849380995
300,30,20000,0.7,0.7,0.3,-6.870442811920582
300,30,20000,0.7,0.95,0.005,432.29039164551546
300,30,20000,0.7,0.95,0.05,12.427785493955803
300,30,20000,0.7,0.95,0.3,-0.7254552007989006
300,30,20000,0.7,1,0.005,0.2973418037555478
300,30,20000,0.7,1,0.05,0.2230601278633143
300,30,20000,0.7,1,0.3,0.18200861787230166
300,30,20000,0.95,0.7,0.005,829.6284366456351
300,30,20000,0.95,0.7,0.05,42.02661136371177
300,30,20000,0.95,0.7,0.3,-3.5953772436547182
300,30,20000,0.95,0.95,0.005,299.8724098614575
300,30,20000,0.95,0.95,0.05,5.818841908325406
300,30,20000,0.95,0.95,0.3,-0.47641223014162815
300,30,20000,0.95,1,0.005,0.02295261325568204
300,30,20000,0.95,1,0.05,0.014253665391386616
300,30,20000,0.95,1,0.3,0.00661036229413862
300,30,20000,1,0.7,0.005,793.5722022431391
300,30,20000,1,0.7,0.05,37.56711608664709
300,30,20000,1,0.7,0.3,-3.724981448988511
300,30,20000,1,0.95,0.005,281.991224137931
300,30,20000,1,0.95,0.05,4.535475180623971
300,30,20000,1,0.95,0.3,-0.21117501310663478
300,30,20000,1,1,0.005,0.12619999999999645
300,30,20000,1,1,0.05,0.018359999999995047
300,30,20000,1,1,0.3,-0.004766666666655706
300,300,500,0.7,0.7,0.005,591.565416045301
300,300,500,0.7,0.7,0.05,23.832717285612386
300,300,500,0.7,0.7,0.3,-0.8298700762354357
300,300,500,0.7,0.95,0.005,143.64366813309482
300,300,500,0.7,0.95,0.05,0.7546348110257783
300,300,500,0.7,0.95,0.3,0.11099758821447869
300,300,500,0.7,1,0.005,0.5730990533246716
300,300,500,0.7,1,0.05,0.06767232916526922
300,300,500,0.7,1,0.3,0.08079243534281355
300,300,500,0.95,0.7,0.005,348.02813463806575
300,300,500,0.95,0.7,0.05,5.9485526888643925
300,300,500,0.95,0.7,0.3,-0.34680009811938195
300,300,500,0.95,0.95,0.005,95.64720459027129
300,300,500,0.95,0.95,0.05,-0.32989303440346396
300,300,500,0.95,0.95,0.3,0.14082105873662137
300,300,500,0.95,1,0.005,0.5521389729864004
300,300,500,0.95,1,0.05,0.16389300443733767
300,300,500,0.95,1,0.3,0.04917134549696038
300,300,500,1,0.7,0.005,320.94220400627455
300,300,500,1,0.7,0.05,5.096652584807543
300,300,500,1,0.7,0.3,-0.5483514795585065
300,300,500,1,0.95,0.005,92.0501541882811
300,300,500,1,0.95,0.05,-0.09096157448518216
300,300,500,1,0.95,0.3,-0.08664067367262589
300,300,500,1,1,0.005,-0.003999999999906856
300,300,500,1,1,0.05,0.11760000000007875
300,300,500,1,1,0.3,-0.15573333333331515
300,300,5000,0.7,0.7,0.005,456.6927995932497
300,300,5000,0.7,0.7,0.05,12.86875192243965
300,300,5000,0.7,0.7,0.3,-0.4690397786264455
300,300,5000,0.7,0.95,0.005,114.12966418812236
300,300,5000,0.7,0.95,0.05,-0.38597314655561266
300,300,5000,0.7,0.95,0.3,0.07360780706415031
300,300,5000,0.7,1,0.005,-0.08647013129909134
300,300,5000,0.7,1,0.05,0.10077365272284644
300,300,5000,0.7,1,0.3,0.14358819579666598
300,300,5000,0.95,0.7,0.005,274.93120089238454
300,300,5000,0.95,0.7,0.05,2.1116689357520144
300,300,5000,0.95,0.7,0.3,-0.3734839386974609
300,300,5000,0.95,0.95,0.005,70.19963133246662
300,300,5000,0.95,0.95,0.05,-0.3100373357480951
300,300,5000,0.95,0.95,0.3,-0.03814965430443129
300,300,5000,0.95,1,0.005,-0.04025877800852354
300,300,5000,0.95,1,0.05,-0.031463044901036685
300,300,5000,0.95,1,0.3,-0.03692251230672887
300,300,5000,1,0.7,0.005,250.94749976301637
300,300,5000,1,0.7,0.05,1.9975617375336956
300,300,5000,1,0.7,0.3,-0.4350405553446568
