n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,coverage_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,coverage_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,coverage_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.13474684447183186,0.800525,0.798716,0.2162764,0.03229215389954054,0.04459278561432318,0.252,0.07186931651193755,0.04848657845192286,0.742,0.08506497095255496,0.0851383366019848,0.933,0,0,0,0,-75.9894528507052,-21.094299748060767,0.6538915487969734
40,250,2500,0.8,0.8,0.14052685408481994,0.8016,0.800228,0.2170128,0.03310590893779481,0.04417298919927296,0.209,0.07265888599984961,0.048303801541722605,0.744,0.08431042506980968,0.08547977022955314,0.943,0,0,0,0,-75.37978539407966,-18.55011868110641,4.122113682148118
40,250,2500,0.8,0.8,0.14546421401788784,0.7977,0.799096,0.218024,0.033286032696864414,0.04462635336117177,0.188,0.07024216883751494,0.04862961976199444,0.776,0.08360671274190247,0.0866272915881504,0.943,0,0,0,0,-76.25583039583077,-18.273770137784936,2.7436757244658767
40,250,2500,0.8,0.8,0.150510325950168,0.803225,0.799064,0.2184524,0.03170532210225378,0.0441961868096686,0.137,0.07231814460241674,0.048287382293672174,0.744,0.08371054663951072,0.08606133760364104,0.951,0,0,0,0,-77.29814203570758,-20.13555911135896,2.5798389222354374
40,250,2500,0.8,0.8,0.1551439315779201,0.8014,0.7989120000000001,0.219812,0.03453499784965284,0.04430192645915411,0.151,0.07460914282665884,0.048563857143792494,0.74,0.08439743836413814,0.08616977834094741,0.946,0,0,0,0,-76.1581493835799,-18.89829417098441,2.623016388849499
40,250,2500,0.8,0.8,0.1598638820758799,0.80005,0.800616,0.2205572,0.03450797995091428,0.04402902469468744,0.142,0.07289314180725445,0.048394826717435224,0.75,0.08325382388290005,0.08628369442643066,0.952,0,0,0,0,-75.15964013555634,-17.896078097729877,2.4485233316931976
40,250,2500,0.8,0.8,0.16499256256825642,0.7991,0.79996,0.2218168,0.03490404595295021,0.04424516305454062,0.11,0.07474329682620759,0.048800632241097736,0.751,0.0866905128454278,0.0867081722194132,0.938,0,0,0,0,-75.13689164653651,-19.094006608679663,2.4254366092896538
40,250,2500,0.8,0.8,0.16999748307062407,0.7981,0.800452,0.22195,0.03515911484833618,0.04411823201455498,0.099,0.07800010639687553,0.04867222745231537,0.717,0.09074887142336253,0.08668864647451505,0.933,0,0,0,0,-75.45100313064725,-19.14675203146151,1.5563776866854064
40,250,2500,0.8,0.8,0.17508916245620784,0.801575,0.799288,0.2228464,0.03437213519144414,0.044074385694052004,0.075,0.0737651788537165,0.04862885904525773,0.745,0.08563293519891113,0.08677964962069808,0.951,0,0,0,0,-76.56784900450438,-19.76760582205968,2.543962655905075
40,250,2500,0.8,0.8,0.18015282017175885,0.801775,0.798428,0.2240032,0.03628416895643983,0.044195830244134364,0.072,0.07381103505364657,0.048677394242615954,0.719,0.0855845719741792,0.08676748349259084,0.944,0,0,0,0,-76.93594341118474,-22.653353463340583,-1.7509660457827165
