n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi,ESE_hat_pi,ASE_hat_pi,covers_pi
300,30,5000,0.95,1,0.3,0.03156618528205035,0.008138803601620543,6.098780091882681e-5,0.948
300,300,500,0.95,0.95,0.005,100.6754796556136,0.011463505519581465,3.1751920589510825e-4,0.97
300,300,500,0.95,0.95,0.05,-0.3320284023630299,0.019012546119279737,3.9365572428123543e-4,0.948
300,300,500,0.95,0.95,0.3,0.524670250818519,0.0265553232596457,6.499486040387553e-4,0.95
300,300,500,0.95,1,0.005,1.537202445330496,0.00328777715025078,1.063009905194714e-5,0.892
300,300,500,0.95,1,0.05,-1.0646859704854517,0.009765629229215308,9.945452695134381e-5,0.942
300,300,500,0.95,1,0.3,0.2504350912177119,0.02310275761882133,4.68225279092546e-4,0.934
300,300,5000,0.95,0.95,0.005,91.26132182776281,0.010458813961003026,2.0523429196299178e-4,0.92
300,300,5000,0.95,0.95,0.05,0.7459458630252047,0.014019183346308644,1.9921069409460803e-4,0.928
300,300,5000,0.95,0.95,0.3,-0.1298080391455107,0.012892662727679109,1.7083239473220357e-4,0.948
300,300,5000,0.95,1,0.005,1.194814678281194,0.0010458696463328892,1.0659056758672355e-6,0.928
300,300,5000,0.95,1,0.05,-0.06321195010115799,0.003163707669758471,1.0467266945128611e-5,0.954
300,300,5000,0.95,1,0.3,0.1335919617378075,0.008095119102032285,6.128058287488414e-5,0.948
300,3000,500,0.95,0.95,0.005,67.12894187710658,0.009290770380099636,1.4640610549993357e-4,0.982
300,3000,500,0.95,0.95,0.05,1.9440468168123726,0.01497199618927951,2.3146728949345876e-4,0.958
300,3000,500,0.95,0.95,0.3,0.6934512704594997,0.02416409374698535,5.662259281879093e-4,0.96
300,3000,500,0.95,1,0.005,-2.6263386522626386,0.0031783416270058035,1.0174602070785115e-5,0.9
300,3000,500,0.95,1,0.05,1.2931619620593082,0.009615111590213951,1.0185500656345279e-4,0.952
300,3000,500,0.95,1,0.3,0.30336197852979624,0.02099681995218926,4.683784504569287e-4,0.956
300,3000,5000,0.95,0.95,0.005,4.528970982947047,0.0047072752509445875,3.2179735098744704e-5,0.976
