n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,hat_pi_SRG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full
40,250,2500,0.8,0.8,0.09000000000000001,-28.387234465352556,0.040546636562184796,0.04327939705390217,0.941,0.722565852060631,0.043863040255860665,0.04444536054593832,0.954,0,0,1000
40,250,2500,0.8,0.8,0.095,-30.84659584774673,0.03938974086056522,0.04353263394976875,0.932,-1.179101307295912,0.04271728036654622,0.04471362018464358,0.962,0,0,1000
40,250,2500,0.8,0.8,0.1,-30.335772279860755,0.040658073217615234,0.04361207133677291,0.919,-1.2795977106435512,0.0444212160225833,0.044860677274998394,0.959,0,0,1000
40,250,2500,0.8,0.8,0.10500000000000001,-31.586051631202814,0.040551362884611974,0.04331973827803415,0.91,-1.6089693498526147,0.04344099102953263,0.04456843708249782,0.963,0,0,1000
40,250,2500,0.8,0.8,0.11,-29.76194138092467,0.04022983172931445,0.04336072562948528,0.921,0.4709987779996397,0.04307064202360449,0.04468127595580087,0.964,0,0,1000
40,250,2500,0.8,0.8,0.115,-28.908091756182195,0.04255301750092939,0.04326960652773626,0.884,1.0944748929922476,0.04571206218672852,0.04468168460548533,0.948,0,0,1000
40,250,2500,0.8,0.8,0.12000000000000001,-28.886872791159163,0.041023825892835965,0.04316724578416044,0.906,0.8050466876480139,0.04340739863858181,0.04460128753213207,0.962,0,0,1000
40,250,2500,0.8,0.8,0.125,-30.78493108090612,0.041601694715605986,0.043183095961543426,0.881,-0.05763364560074091,0.0444338290480824,0.04464497386198981,0.96,0,0,1000
40,250,2500,0.8,0.8,0.13,-28.889269231827843,0.042299062916260156,0.042894506571592377,0.867,1.3166682605314932,0.04483113798237624,0.044450396645693085,0.955,0,0,1000
40,250,2500,0.8,0.8,0.135,-28.942261955683296,0.04250961387595338,0.043108849281830994,0.867,1.767291684380176,0.04514029843241342,0.04476982155863569,0.961,0,0,1000
40,250,2500,0.8,0.8,0.14,-27.268629717867384,0.04337108118559539,0.042684352992329144,0.867,2.8016142538361026,0.04574679049834738,0.04443100276633127,0.951,0,0,1000
40,250,2500,0.8,0.8,0.14500000000000002,-30.041872611144246,0.04267197659929648,0.04310998928152741,0.846,0.18339526951095184,0.04470924723024852,0.04485543779383257,0.964,0,0,1000
40,250,2500,0.8,0.8,0.15,-29.845218646967005,0.0424421759909234,0.04305444069888672,0.836,0.7256819543502621,0.044698969276346506,0.04489398401153307,0.965,0,0,1000
40,250,2500,0.8,0.8,0.155,-30.419970561255795,0.04340619662804751,0.04277492178875319,0.811,-0.07710544128268806,0.04593376176056364,0.04465818103671535,0.954,0,0,1000
40,250,2500,0.8,0.8,0.16,-30.084920405427205,0.044456801410224824,0.043043966031215734,0.817,0.476937763569836,0.04611568702906432,0.04501404527779818,0.96,0,0,1000
40,250,2500,0.8,0.8,0.165,-29.958867950265773,0.04310855407995288,0.04304255678873662,0.793,0.9382629408200509,0.0455398574554541,0.04510900377749399,0.952,0,0,1000
40,250,2500,0.8,0.8,0.17,-29.21430320237019,0.04365912614969814,0.04267172741392644,0.801,0.7697111865525639,0.046173480452907444,0.04482281977336821,0.955,0,0,1000
40,250,2500,0.8,0.8,0.17500000000000002,-29.375457885506002,0.04299616901115562,0.04290696962076366,0.772,0.7837928235724695,0.044445683550523876,0.045127016125708234,0.957,0,0,1000
40,250,2500,0.8,0.8,0.18000000000000002,-29.13274373597154,0.04364404616700185,0.04308488875540779,0.791,1.259757122839313,0.044902094226594615,0.04541461407999232,0.956,0,0,1000
40,250,2500,0.8,0.8,0.185,-30.562377069044082,0.04320613899962123,0.04311841738000879,0.741,-0.5807461985186908,0.04610242848879499,0.045502671250750325,0.957,0,0,1000
40,250,2500,0.8,0.8,0.19,-29.047590517548628,0.04331392003935844,0.04301543971710965,0.752,1.6789274090540562,0.045809161384458626,0.045562617671924724,0.955,0,0,1000
40,250,2500,0.8,0.8,0.195,-30.045526805413033,0.041596410907913405,0.04326089485006295,0.728,0.5663982576103013,0.044603639224309356,0.04589642840297972,0.961,0,0,1000
40,250,2500,0.8,0.8,0.2,-29.4374512046751,0.043461486491264585,0.04332220382907609,0.719,1.0453466506451792,0.04653137447294997,0.04609305147659051,0.958,0,0,1000
40,250,2500,0.8,0.95,0.005,95.47174877503573,0.012092082272923006,0.01937230778625601,0.941,114.54754647051561,0.012734748886183131,0.0199336417738738,0.944,0,0,1000
40,250,2500,0.8,0.95,0.01,17.472004522160017,0.013214624529106404,0.01940367055211398,0.94,41.09400186366901,0.01462261327334948,0.020038055255741205,0.936,0,0,1000
40,250,2500,0.8,0.95,0.015,-6.354077487171853,0.013945652477770977,0.019422556912757443,0.966,18.53701963682455,0.015687050877549433,0.020119428569863162,0.948,0,0,1000
40,250,2500,0.8,0.95,0.02,-14.352382738123548,0.01500129992553458,0.019471499492788154,0.958,11.453285715803084,0.016846201024840992,0.0202438267755021,0.948,0,0,1000
