province,age_cat,sex,count,stratum_prop
Hainaut,"[40,50)",f,89247,0.007765577990298314
Hainaut,"[50,60)",f,92824,0.008076820636788358
Hainaut,"[60,70)",f,86120,0.007493490834700222
Hainaut,"[70,80)",f,59972,0.005218295777271734
Hainaut,"[80,90)",f,36723,0.003195349093389413
Hainaut,"[90,Inf)",f,10415,9.062320836437857e-4
Liege,"[0,10)",f,60665,0.005278595233245344
Liege,"[10,20)",f,63441,0.005520141105947711
Liege,"[20,30)",f,68342,0.005946587907862083
Liege,"[30,40)",f,71705,0.006239209943127955
Liege,"[40,50)",f,70649,0.006147325057834835
Liege,"[50,60)",f,76037,0.0066161468021145005
Liege,"[60,70)",f,68972,0.00600140559511082
Liege,"[70,80)",f,48390,0.0042105204539148134
Liege,"[80,90)",f,30403,0.0026454319768624114
Liege,"[90,Inf)",f,7823,6.806964561061292e-4
Limburg,"[0,10)",f,42888,0.0037317793186091865
Limburg,"[10,20)",f,44677,0.0038874441479552
Limburg,"[20,30)",f,48125,0.0041874622203895515
Limburg,"[30,40)",f,54497,0.004741903971419624
Limburg,"[40,50)",f,56911,0.0049519514270044635
Limburg,"[50,60)",f,65208,0.005673891666850117
Limburg,"[60,70)",f,58089,0.005054451800939401
Limburg,"[70,80)",f,39361,0.003424887282218247
Limburg,"[80,90)",f,25379,0.0022082826741042375
Limburg,"[90,Inf)",f,5464,4.754346716303067e-4
Luxembourg,"[0,10)",f,16041,0.0013957627319951958
Luxembourg,"[10,20)",f,17804,0.0015491652440896744
Luxembourg,"[20,30)",f,17508,0.0015234096323029668
Luxembourg,"[30,40)",f,18239,0.001587015551951897
Luxembourg,"[40,50)",f,18761,0.0016324359213865638
Luxembourg,"[50,60)",f,19328,0.0016817718399104262
Luxembourg,"[60,70)",f,16359,0.0014234326122255102
Luxembourg,"[70,80)",f,10693,9.304214757948152e-4
Luxembourg,"[80,90)",f,7380,6.421500506280497e-4
Luxembourg,"[90,Inf)",f,1929,1.6784653762351055e-4
Namur,"[0,10)",f,26139,0.0022744119476106493
Namur,"[10,20)",f,28951,0.002519090259584372
Namur,"[20,30)",f,30030,0.0026129764255230802
Namur,"[30,40)",f,31847,0.0027710775965245934
Namur,"[40,50)",f,31914,0.0027769074140573955
Namur,"[50,60)",f,34651,0.0030150598108824593
Namur,"[60,70)",f,31203,0.002715041738448108
Namur,"[70,80)",f,21381,0.0018604078905797197
Namur,"[80,90)",f,13166,0.0011456026512965992
Namur,"[90,Inf)",f,3531,3.072400851988677e-4
Brussels,"[0,10)",f,80026,0.006963238475821179
Brussels,"[10,20)",f,68716,0.005979130471403396
Brussels,"[20,30)",f,93565,0.008141296678457111
Brussels,"[30,40)",f,100893,0.00877892209458209
Brussels,"[40,50)",f,83834,0.007294580940969095
Brussels,"[50,60)",f,69965,0.006087808711679065
Brussels,"[60,70)",f,53482,0.004653586586407772
Brussels,"[70,80)",f,37534,0.003265915989196913
Brussels,"[80,90)",f,24627,0.002142849498213683
Brussels,"[90,Inf)",f,7907,6.880054810726273e-4
