"","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","","","","Male","","","","","Female","","","",""
"","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","","","Recoded detailed race code recode (RAC1P_RC1)","","","",""
"Selected Geographies","Total","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Sex (SEX)","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American ","Total Recoded detailed race code recode (RAC1P_RC1)","Asian","Other","White ","Black or African American "
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York","167197","22767","11770","3956","1939","3960","1915","10997","2399","3227","4039","1332","9755","4058","2495","0","1149","414","5697","2785","433","2326","153","37902","14760","5842","1777","6430","711","23142","9145","4802","7224","1971","38184","19553","6907","2322","8750","1574","18631","6381","3394","6837","2019","58589","29898","8526","4207","16108","1057","28691","7389","3340","14555","3407"
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York","164494","27857","14420","1868","1561","9623","1368","13437","1704","1592","9570","571","5483","2256","631","0","1625","0","3227","1157","0","1975","95","24601","11642","852","802","9845","143","12959","1804","0","10736","419","38924","19233","2087","802","15699","645","19691","3007","1152","14683","849","67629","32224","4982","1986","24025","1231","35405","5066","1331","27613","1395"
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York","161322","37475","19726","1777","643","17147","159","17749","406","185","16843","315","4489","1754","78","57","1619","0","2735","116","0","2619","0","34200","16474","898","96","15445","35","17726","1243","48","16230","205","43262","20616","1301","253","18879","183","22646","1483","238","20699","226","41896","19393","1038","117","17737","501","22503","2136","64","20297","6"
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York","138784","31652","16159","3318","869","11972","0","15493","3277","1249","10805","162","7919","2494","170","78","2246","0","5425","662","0","4556","207","28721","12917","2258","251","10326","82","15804","2270","0","12847","687","38068","17889","3411","404","13243","831","20179","3710","1117","13273","2079","32424","16143","4056","200","11041","846","16281","3638","1501","10971","171"
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York","176448","44543","23484","1304","2344","12945","6891","21059","1431","2684","11724","5220","6486","1746","313","35","1269","129","4740","464","112","3199","965","28924","13928","1383","965","9271","2309","14996","915","1001","10579","2501","45757","22768","1931","1612","14207","5018","22989","2132","2645","12440","5772","50738","26021","2455","4882","14252","4432","24717","2678","2990","13196","5853"
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York","151442","32047","17430","312","2815","13179","1124","14617","111","2073","10675","1758","4102","1023","0","359","249","415","3079","476","1222","1381","0","18066","8179","498","1404","5852","425","9887","431","2690","5278","1488","32454","18281","796","4649","11420","1416","14173","1343","4298","7543","989","64773","31920","2978","4239","23867","836","32853","2805","3956","25043","1049"
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York","127568","23355","11810","123","6606","1977","3104","11545","208","5582","2353","3402","2436","1630","0","463","338","829","806","0","159","0","647","15677","6641","322","2828","1571","1920","9036","252","4056","2475","2253","28962","13509","573","7529","2354","3053","15453","623","7104","3565","4161","57138","31681","1596","7585","16745","5755","25457","1668","5711","12117","5961"
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York","144210","34924","16908","186","3595","6351","6776","18016","216","3912","6929","6959","3059","960","0","0","138","822","2099","0","0","186","1913","18593","7478","137","1002","933","5406","11115","313","896","524","9382","31079","12852","820","1849","3093","7090","18227","404","3577","3723","10523","56555","25091","607","3916","12990","7578","31464","1196","3603","13565","13100"
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York","133062","25708","11669","1296","1702","7122","1549","14039","719","2022","8774","2524","3728","1635","249","208","808","370","2093","253","0","1086","754","17026","7355","1010","648","2766","2931","9671","758","527","4161","4225","27169","13048","1499","704","8514","2331","14121","1586","1206","7403","3926","59431","27156","2985","2612","17271","4288","32275","5275","2237","19913","4850"
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York","113991","26504","12637","900","1382","9791","564","13867","776","2045","9536","1510","1684","546","0","0","546","0","1138","0","203","576","359","16015","7297","125","226","5892","1054","8718","323","397","6509","1489","33798","16467","1372","557","13229","1309","17331","1529","2133","12409","1260","35990","17039","1489","1065","12484","2001","18951","2616","618","13880","1837"
