n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,MSE_hat_pi_RG,coverage_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,MSE_hat_pi_SRG,coverage_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,MSE_hat_pi_SRGM,coverage_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.95,0.04995737745866485,0.7963,0.949628,0.0156328,1.4672883371206574e-4,0.02027187957733442,0.002495089898921796,0,0.036080682183727335,0.02352935860595222,0.0015483617446847531,0.594,0.04661989220885974,0.050195464651870206,0.0022065299600493066,0.931,0,0,0,0,-99.9865527519946,-31.51323726611169,11.891049771684811
40,250,2500,0.8,0.95,0.0600144943974143,0.801325,0.949796,0.0170752,1.1877918711304707e-4,0.019983839038744046,0.003601130407138929,0,0.036666145227169614,0.023628352364673148,0.0018984636891315803,0.568,0.04906985593974448,0.05058686730962961,0.002410646426260198,0.904,0,0,0,0,-99.99134790313424,-39.26879048438472,3.800950877030301
40,250,2500,0.8,0.95,0.06998064829448897,0.7981,0.950144,0.019074,6.697714929346501e-4,0.01992996098379434,0.004889561083826157,0,0.04208954751763973,0.024011846009567243,0.0023148875051016886,0.572,0.051465063831062495,0.05231548683942818,0.0026664039234709737,0.924,0,0,0,0,-99.91646796098512,-33.36350673291727,6.454086661146902
40,250,2500,0.8,0.95,0.0799625580864368,0.7996,0.949736,0.0208044,9.407487292236712e-4,0.019961867243296186,0.0063806997916467925,0,0.04539921589027583,0.024470962111465887,0.0026556520759682843,0.55,0.05361652667172878,0.05321623182406412,0.0028940076568343773,0.918,0,0,0,0,-99.88893579400869,-30.546665698107986,5.885788615174095
40,250,2500,0.8,0.95,0.08999668701131847,0.80025,0.95028,0.0225932,8.970357757436297e-4,0.019768480453187055,0.008087136099698517,0,0.04650139683812114,0.024417427006189634,0.0029250632591550324,0.542,0.05676811261474685,0.05426376916687844,0.003235949846684715,0.934,0,0,0,0,-99.91927356298386,-30.729847229895064,4.5208808068827455
40,250,2500,0.8,0.95,0.10002053976593694,0.80165,0.949944,0.0244088,0.00166468882790924,0.019764601026998632,0.00995602285265223,0,0.04822966180427993,0.024644922269744834,0.003389314381056315,0.515,0.05820252022386771,0.05493494417294322,0.003386827024863212,0.913,0,0,0,0,-99.74551089650089,-32.6359099685306,1.6371000976218797
40,250,2500,0.8,0.95,0.10997246531145216,0.8001,0.9497599999999999,0.0265824,0.001640011023411472,0.019800976575749404,0.012041169648490961,0,0.04672393315701523,0.02502712243939642,0.003400143911632013,0.546,0.05805377916226691,0.055954970522873605,0.0033692484692016476,0.929,0,0,0,0,-99.77044644181883,-31.750729888914968,1.4020722914465684
40,250,2500,0.8,0.95,0.11998723251171924,0.80035,0.950252,0.0284072,0.002246653202502288,0.019660406667485007,0.014298651463678595,0,0.05133109551098759,0.02525299925341415,0.003974631809887019,0.477,0.058067126686979456,0.05711791487809915,0.0033692340950430347,0.936,0,0,0,0,-99.64050347827452,-30.535396339486642,0.7522456881969397
40,250,2500,0.8,0.95,0.12995955306727694,0.801725,0.9498559999999999,0.0305916,0.0021247910942056017,0.019667485034338336,0.016777598002472947,0,0.05056096773457495,0.02545025476360193,0.004185561278198307,0.493,0.06067465266996917,0.05820912786570677,0.003678606253009986,0.922,0,0,0,0,-99.65481810258646,-31.08227345217178,0.7194401558685234
40,250,2500,0.8,0.95,0.13998410904125091,0.79525,0.950064,0.03259,0.003413771751221289,0.019723390310585884,0.01935066109957027,0,0.05210456265044757,0.026343792433232958,0.004111121808686229,0.541,0.061273449204475756,0.05977680517925859,0.0037953618420058298,0.936,0,0,0,0,-99.34327695585188,-26.71914471006888,4.775086548414841
