n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,mse_pi_RG,hat_pi_RG_notrunc,n_sims
40,250,2500,0.99,0.99,0.01,2.534749479872582,0.006265136666212008,0.006737661749026788,0.899,3.931226180182662e-5,-1.246036550972343,NA
40,250,2500,0.99,0.99,0.02,-0.026016553688057442,0.0071924391848942485,0.00698515792566707,0.9061,5.1726035384702044e-5,-0.14981445594730233,NA
40,250,2500,0.99,0.99,0.03,-0.4755473418625404,0.007459084109140094,0.007268012690312589,0.9205,5.565272502834328e-5,-0.4755473418625404,NA
40,250,2500,0.99,0.99,0.04,-0.20078614128345162,0.007615362481607657,0.007472424759370257,0.9292,5.799439676362994e-5,-0.20078614128345162,NA
40,250,2500,0.99,0.99,0.05,0.19750097334357564,0.007901643643158634,0.00766657906735804,0.9272,6.243948032486082e-5,0.19750097334357564,NA
40,250,2500,0.99,0.99,0.060000000000000005,-0.1654889954207442,0.007994941806489108,0.007906280717559234,0.9376,6.392256175843633e-5,-0.1654889954207442,NA
40,250,2500,0.99,0.99,0.06999999999999999,-0.17558698110701054,0.008322658293988865,0.00810956703367751,0.9384,6.927482150048159e-5,-0.17558698110701054,NA
40,250,2500,0.99,0.99,0.08,-0.07607615387270408,0.008389683546420756,0.00827929252441154,0.9439,7.03834553820426e-5,-0.07607615387270408,NA
40,250,2500,0.99,0.99,0.09,-0.1271256219134092,0.008497873054327075,0.008479224353835357,0.9454,7.221971541104839e-5,-0.1271256219134092,NA
40,250,2500,0.99,0.99,0.09999999999999999,-0.051573414254088575,0.008709479770083356,0.008655001793477335,0.9479,7.58501121787625e-5,-0.051573414254088575,NA
40,250,2500,0.99,0.99,0.11,0.03216846568052101,0.008938760058607458,0.008825930715150252,0.946,7.98946933625404e-5,0.03216846568052101,NA
40,250,2500,0.99,0.99,0.12,-0.007740277395718957,0.009042336108129712,0.009022564191039927,0.949,8.175575218128474e-5,-0.007740277395718957,NA
40,250,2500,0.99,0.99,0.13,-0.050781811656895284,0.009143332975741058,0.009179041274245079,0.9526,8.359653601063112e-5,-0.050781811656895284,NA
40,250,2500,0.99,0.99,0.14,0.055168085019053584,0.009375835209801963,0.009329073817137072,0.9542,8.790346054727923e-5,0.055168085019053584,NA
40,250,2500,0.99,0.99,0.15000000000000002,-0.004039063834763526,0.00943285877334428,0.009481499153742448,0.9541,8.896996346197683e-5,-0.004039063834763526,NA
40,250,2500,0.99,0.99,0.16,-0.021865255867177524,0.009694990916604383,0.009649167310668817,0.9517,9.398467349705438e-5,-0.021865255867177524,NA
40,250,2500,0.99,0.99,0.17,0.0528340074846191,0.009780810477772274,0.009795567091429199,0.9559,9.566275441622218e-5,0.0528340074846191,NA
40,250,2500,0.99,0.99,0.18000000000000002,0.01941357511015293,0.010055596188337436,0.009945592425796582,0.9502,1.011061243149874e-4,0.01941357511015293,NA
40,250,2500,0.99,0.99,0.19,0.01953116915337505,0.010053759033965206,0.010064574739078272,0.9524,1.0106934000027796e-4,0.01953116915337505,NA
40,250,2500,0.99,0.99,0.2,0.025488957633282294,0.010290163090025962,0.010205573933084262,0.951,1.0587946642153565e-4,0.025488957633282294,NA
