n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,coverage_pi_RG,MSE_hat_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,coverage_pi_SRG,MSE_hat_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,coverage_pi_SRGM,MSE_hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.95,0.01002969325782091,0.79745,0.950484,0.0389288,0.005298085994084779,0.01949493050109538,0.849,9.167156729832524e-5,0.014291388150294786,0.020534967015269877,0.941,2.2131509228316432e-4,0.014702491343649203,0.020287072524546694,0.942,2.4681705537525167e-4,0,0,0,889,-79.53220875500585,41.440828186611895,55.39625822256904
40,250,2500,0.8,0.95,0.01995622486014077,0.80135,0.9500759999999999,0.044552,0.007674443026153716,0.01942714837281094,0.785,3.0045493678908074e-4,0.017374402963304298,0.02062656703066076,0.947,3.065952282303113e-4,0.01755600470598974,0.020374066113614076,0.942,3.250619125191844e-4,0,0,0,900,-77.89061585196424,11.235322608566168,20.755828170794597
40,250,2500,0.8,0.95,0.02998303506037253,0.800325,0.949572,0.0494096,0.010354421922817696,0.019519097716393985,0.674,6.391831706996748e-4,0.019421954896874195,0.020892063628024933,0.945,3.769438714342882e-4,0.019227084028579474,0.020611091212469762,0.937,3.728705284325692e-4,0,0,0,888,-76.93277140368026,-1.0998729840392776,6.29239231186359
40,250,2500,0.8,0.95,0.03998982191519198,0.80265,0.949928,0.0550292,0.012850301034381884,0.019351978557962723,0.625,9.859313098242164e-4,0.02017890001928905,0.020940664009906698,0.941,4.0701083451026864e-4,0.020169314427633055,0.020665524052498496,0.933,4.165821688877497e-4,0,0,0,895,-71.64950087428399,1.1993061245801413,7.981585136972714
40,250,2500,0.8,0.95,0.04997693373634478,0.7963,0.949628,0.0604444,0.014611765228125089,0.019596353472500414,0.542,0.001359540127772058,0.02027691536806227,0.02142368491178011,0.966,4.1101889838290434e-4,0.01990786820337883,0.02110794562719249,0.958,4.0654115328485525e-4,0,0,0,903,-67.74387850729757,1.0526354753573404,6.518914060491096
40,250,2500,0.8,0.95,0.05999804008469641,0.801325,0.949796,0.0654356,0.016434262497897433,0.01941918797777856,0.463,0.0017277513944169906,0.021786024553943573,0.02144470835669189,0.947,4.74256668146004e-4,0.02139915145269656,0.0211279836151184,0.946,4.636279804396496e-4,0,0,0,881,-63.64030317934364,-0.5282037393822654,4.137438763522129
40,250,2500,0.8,0.95,0.07004619283495173,0.7981,0.950144,0.0712208,0.018080707137866917,0.019480671817371023,0.405,0.001987803352442751,0.021932258062514042,0.02178259704049821,0.958,4.8112824425533844e-4,0.02159740499945201,0.021450982877631388,0.939,4.802212845756803e-4,0,0,0,885,-58.1873819345825,1.0922292630055424,5.3872590990871965
40,250,2500,0.8,0.95,0.08001869911696176,0.7996,0.949736,0.076494,0.018487618703309026,0.019581922081923452,0.324,0.002322035926359009,0.022492444318506902,0.022039930346198142,0.946,5.054092388817419e-4,0.021694554766757575,0.021723038478844433,0.943,4.787539888409844e-4,0,0,0,902,-55.616714516731264,-0.08922522319437819,3.658664950464374
40,250,2500,0.8,0.95,0.09000254087659236,0.80025,0.95028,0.0816948,0.01873358738770922,0.019531908230577405,0.295,0.0025851698202398123,0.022165192317325725,0.022269189533373337,0.964,4.908206072205106e-4,0.021690067487775914,0.021908236013238894,0.962,4.798942344524168e-4,0,0,0,894,-52.52215644965659,0.1412099170446559,3.496931029565442
40,250,2500,0.8,0.95,0.09998959295165888,0.80165,0.949944,0.0875144,0.019917359230706397,0.01966468803051751,0.231,0.002901941574899825,0.023177422488990327,0.02263553814778394,0.941,5.366624209139925e-4,0.022590957599113955,0.022259363227508728,0.944,5.199391781990754e-4,0,0,0,901,-50.06154896247004,0.08186567630584281,3.1780916426678774
