n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,n_sims
250,250,2500,0.8,0.95,0.14,0.0670889747431323,NA
250,250,2500,0.8,0.95,0.15000000000000002,0.1362780967068174,NA
250,250,2500,0.8,0.95,0.16,0.910505355702293,NA
250,250,2500,0.8,0.95,0.17,0.38833001752063734,NA
250,250,2500,0.8,0.95,0.18000000000000002,0.5807809310450094,NA
250,250,2500,0.8,0.95,0.19,-0.7257096876321426,NA
250,250,2500,0.8,0.95,0.2,-0.6517122641728212,NA
250,250,2500,0.8,0.99,0.01,5.414112157492677,NA
250,250,2500,0.8,0.99,0.02,1.117721183100922,NA
250,250,2500,0.8,0.99,0.03,0.11289711380348122,NA
250,250,2500,0.8,0.99,0.04,0.6925855276906229,NA
250,250,2500,0.8,0.99,0.05,0.5907208111913254,NA
250,250,2500,0.8,0.99,0.060000000000000005,0.7889926742540275,NA
250,250,2500,0.8,0.99,0.06999999999999999,0.14710336924164286,NA
250,250,2500,0.8,0.99,0.08,0.07303619972512734,NA
250,250,2500,0.8,0.99,0.09,-0.23883706393166962,NA
250,250,2500,0.8,0.99,0.09999999999999999,0.6019430336910575,NA
250,250,2500,0.8,0.99,0.11,0.5972792999125504,NA
250,250,2500,0.8,0.99,0.12,0.21702408779441612,NA
250,250,2500,0.8,0.99,0.13,-0.10345790850871181,NA
250,250,2500,0.8,0.99,0.14,-0.06516175224959603,NA
250,250,2500,0.8,0.99,0.15000000000000002,0.4268005150095029,NA
250,250,2500,0.8,0.99,0.16,0.7250623343468127,NA
250,250,2500,0.8,0.99,0.17,-0.11091470523986441,NA
250,250,2500,0.8,0.99,0.18000000000000002,-0.3025768607827248,NA
250,250,2500,0.8,0.99,0.19,0.11679508618518467,NA
250,250,2500,0.8,0.99,0.2,-0.3933289420229996,NA
250,250,2500,0.99,0.8,0.01,76.92609193782994,NA
250,250,2500,0.99,0.8,0.02,22.260324090936383,NA
250,250,2500,0.99,0.8,0.03,6.876144610551323,NA
250,250,2500,0.99,0.8,0.04,0.30319728033544047,NA
250,250,2500,0.99,0.8,0.05,-1.5912764323862683,NA
250,250,2500,0.99,0.8,0.060000000000000005,-1.7359609349790772,NA
250,250,2500,0.99,0.8,0.06999999999999999,-4.331959115798804,NA
250,250,2500,0.99,0.8,0.08,0.4245772819440156,NA
250,250,2500,0.99,0.8,0.09,-0.7384485688350435,NA
250,250,2500,0.99,0.8,0.09999999999999999,-2.5970257986251966,NA
250,250,2500,0.99,0.8,0.11,-1.1117462634821496,NA
250,250,2500,0.99,0.8,0.12,-2.1651009919855757,NA
250,250,2500,0.99,0.8,0.13,-1.6580526423429434,NA
250,250,2500,0.99,0.8,0.14,1.8592075155750483,NA
250,250,2500,0.99,0.8,0.15000000000000002,-0.48824570624322877,NA
250,250,2500,0.99,0.8,0.16,-1.3674856360808458,NA
250,250,2500,0.99,0.8,0.17,0.46537454708298875,NA
250,250,2500,0.99,0.8,0.18000000000000002,-1.2848566269570765,NA
250,250,2500,0.99,0.8,0.19,0.5238206536919976,NA
250,250,2500,0.99,0.8,0.2,-0.9092038219659232,NA
250,250,2500,0.99,0.95,0.01,17.513702655761133,NA
250,250,2500,0.99,0.95,0.02,4.733015398146676,NA
250,250,2500,0.99,0.95,0.03,0.8223150274226075,NA
250,250,2500,0.99,0.95,0.04,0.04619977181626392,NA
250,250,2500,0.99,0.95,0.05,-0.6096156139762249,NA
250,250,2500,0.99,0.95,0.060000000000000005,0.5093942728277845,NA
250,250,2500,0.99,0.95,0.06999999999999999,-0.7755672404086343,NA
250,250,2500,0.99,0.95,0.08,1.5145839438023,NA
250,250,2500,0.99,0.95,0.09,-1.2093661681692367,NA
250,250,2500,0.99,0.95,0.09999999999999999,-2.3822723833038104,NA
250,250,2500,0.99,0.95,0.11,0.22997552266491986,NA
250,250,2500,0.99,0.95,0.12,0.5160907699605413,NA
250,250,2500,0.99,0.95,0.13,-0.5571260735324939,NA
250,250,2500,0.99,0.95,0.14,-0.1965341813757063,NA
250,250,2500,0.99,0.95,0.15000000000000002,0.2652002806822947,NA
250,250,2500,0.99,0.95,0.16,-0.3706701151511525,NA
250,250,2500,0.99,0.95,0.17,-0.3900166495366332,NA
250,250,2500,0.99,0.95,0.18000000000000002,0.20982228263714664,NA
250,250,2500,0.99,0.95,0.19,0.059046865179239384,NA
250,250,2500,0.99,0.95,0.2,-0.1264124031216951,NA
250,250,2500,0.99,0.99,0.01,7.438932717807566,NA
250,250,2500,0.99,0.99,0.02,1.8940620603147447,NA
250,250,2500,0.99,0.99,0.03,-1.414045048254697,NA
250,250,2500,0.99,0.99,0.04,0.2610592762361183,NA
250,250,2500,0.99,0.99,0.05,-0.0031131853609478455,NA
250,250,2500,0.99,0.99,0.060000000000000005,-0.299070203366158,NA
250,250,2500,0.99,0.99,0.06999999999999999,0.4548270647546094,NA
250,250,2500,0.99,0.99,0.08,-0.20341161640558686,NA
250,250,2500,0.99,0.99,0.09,-0.10381781871227377,NA
250,250,2500,0.99,0.99,0.09999999999999999,-0.20181878667994982,NA
250,250,2500,0.99,0.99,0.11,0.030718871997754593,NA
250,250,2500,0.99,0.99,0.12,0.05746392337005237,NA
250,250,2500,0.99,0.99,0.13,-0.2264854213162923,NA
250,250,2500,0.99,0.99,0.14,0.16834713251290662,NA
250,250,2500,0.99,0.99,0.15000000000000002,0.12715063434472668,NA
250,250,2500,0.99,0.99,0.16,0.05772792681591615,NA
250,250,2500,0.99,0.99,0.17,0.12332947981551619,NA
250,250,2500,0.99,0.99,0.18000000000000002,0.35437506956801423,NA
250,250,2500,0.99,0.99,0.19,0.20523788451519348,NA
250,250,2500,0.99,0.99,0.2,-0.07630756560919605,NA
