n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,hat_pi_SRG_restriction,hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRG_restriction,num_infinite_pi_SRGM,sims_w_positivity,n_sims
40,250,2500,0.8,0.95,0.17997198453830315,-27.98922166018843,0.405744479076212,1.6599737966435275,1.229404282747609,0,0,0,0,451,NA
40,250,2500,0.8,0.95,0.1900678398849502,-27.500370154890568,0.8595166342911585,-0.23221305118690372,1.416570647185757,0,0,0,0,443,NA
40,250,2500,0.8,0.95,0.1998390882015514,-28.05883374027919,-0.2127492071699373,-0.6435298732591275,0.17207798431126173,0,0,0,0,442,NA
40,250,2500,0.8,0.99,0.009912299793487728,-23.46985708036607,1.8447399503692385,11.42578183225292,6.769265354344506,0,0,0,0,436,NA
40,250,2500,0.8,0.99,0.020076306911179623,-27.15955028554503,7.881862697525602,-7.248698142876339,8.236210962545986,0,0,0,0,446,NA
40,250,2500,0.8,0.99,0.030014421461553767,-29.939687700394774,2.3602571172418303,8.441184542655352,5.7969121423299725,0,0,0,0,444,NA
40,250,2500,0.8,0.99,0.03984382321137399,-31.62603340099299,2.2193941661611336,-3.830384275348451,2.7062906224162804,0,0,0,0,445,NA
40,250,2500,0.8,0.99,0.04999999597153313,-30.151575057627362,2.8157819971325573,1.5914115236948472,4.448374673755571,0,0,0,0,449,NA
40,250,2500,0.8,0.99,0.05995028303745747,-30.918246622273752,1.3300907574102654,-1.2524962613015764,2.123688478217551,0,0,0,0,443,NA
40,250,2500,0.8,0.99,0.07004357654639723,-30.717556412637116,0.2942817816837587,3.4861877440348468,1.7306873152917337,0,0,0,0,451,NA
40,250,2500,0.8,0.99,0.07985389946003679,-31.896264881412,-0.21669995971423592,-1.2234907218419646,0.3405726446165894,0,0,0,0,448,NA
40,250,2500,0.8,0.99,0.09005769599673488,-30.83817881412852,0.10145753731218675,2.672150173841839,1.0731449706465075,0,0,0,0,450,NA
40,250,2500,0.8,0.99,0.10092145976379437,-30.296373836685085,0.5256124934193405,2.9606526099046904,1.2045029588385838,0,0,0,0,453,NA
40,250,2500,0.8,0.99,0.11010460386102104,-30.18984998603543,-0.5851615733396708,1.7402607074247762,0.44485630735418247,0,0,0,0,445,NA
