n_1,n_2,n_3,sigma_e,sigma_p,prev,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,hat_pi_SRG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full
40,250,2500,0.8,0.8,0.15000000000000002,-29.789927015534868,0.04264416011670791,0.04320918415952395,0.846,0.5901814122850808,0.04464753484588333,0.04503803801623048,0.95,0,0,1000
40,250,2500,0.8,0.8,0.16,-30.318417914570844,0.043587635733804676,0.04292331036118746,0.802,-0.020500890655986148,0.04534020930564872,0.04485918768374685,0.958,0,0,1000
40,250,2500,0.8,0.8,0.17,-28.62549443102024,0.04231682599010515,0.04274440891861395,0.808,1.9404309209864237,0.044422889235057515,0.04492284645307069,0.962,0,0,1000
40,250,2500,0.8,0.8,0.18000000000000002,-29.85105856070215,0.04343614312843681,0.04274516114720479,0.754,0.15370783264224203,0.04591590546345889,0.045012571681124346,0.96,0,0,1000
40,250,2500,0.8,0.8,0.19,-30.64273834199087,0.04193063055467258,0.043037953352875837,0.713,-0.4352169267237226,0.045078272446016913,0.045511270540131606,0.961,0,0,1000
40,250,2500,0.8,0.8,0.2,-30.250636229408933,0.04363125171357747,0.04323608334716671,0.691,0.3455581127042723,0.046530835410293625,0.045970127525022546,0.959,0,0,1000
40,250,2500,0.8,0.95,0.01,15.552319648366591,0.013028329891511287,0.01941175675735571,0.96,36.83255610440705,0.01429017868462907,0.020032407827860838,0.95,0,0,1000
40,250,2500,0.8,0.95,0.02,-19.305034758906586,0.01503418615716829,0.019416222388810234,0.974,6.185279240487288,0.01697399842527763,0.020173193020200195,0.951,0,0,1000
40,250,2500,0.8,0.95,0.03,-24.77245076909392,0.017233814471187853,0.01953178534872341,0.978,2.7680820087258815,0.019451309204028325,0.020449005409295614,0.952,0,0,1000
40,250,2500,0.8,0.95,0.04,-27.190894977564273,0.01789194621020473,0.01940272004985275,0.987,1.7913803756816788,0.02010814331569288,0.0204836577748898,0.96,0,0,1000
40,250,2500,0.8,0.95,0.05,-29.750979066927865,0.017854824233323813,0.019432633135286943,0.941,0.1696201195698216,0.019663734504847142,0.02067141493684453,0.975,0,0,1000
40,250,2500,0.8,0.95,0.060000000000000005,-30.31822422633504,0.01932100338134756,0.01970044749783213,0.885,-0.21755816045030776,0.021420423112263873,0.021131992314324978,0.948,0,0,1000
