n_1,n_2,n_3,sigma_e,sigma_p,pi,mse_pi_RG,mse_pi_SRG,num_infinite_pi_RG,num_infinite_pi_SRG,n_strata_obs_full,n_sims
40,250,2500,0.8,0.99,0.03,1.5258741502764803e-4,1.0165804834755821e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.04,2.442926613596782e-4,1.299155889996483e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.05,3.047068215301982e-4,1.263334651741004e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.060000000000000005,4.2270144704042566e-4,1.6013189062429357e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.06999999999999999,5.274969922721663e-4,1.5015736939536992e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.08,6.611107174276512e-4,1.828284433457564e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.09,8.266804437475798e-4,1.9811738962178767e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.09999999999999999,0.0010410479071195772,2.1696170664456694e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.11,0.0012171468369022182,2.6216137328152446e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.12,0.0014083151786473563,2.7975885625290865e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.13,0.0016357915214569034,2.774937978302991e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.14,0.0018741272427951548,3.341098126262879e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.15000000000000002,0.0021547332109703734,3.575778714810477e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.16,0.0023803790702642434,3.66408376193439e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.17,0.0027100901690828793,3.749638804488351e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.18000000000000002,0.0030312765552217057,4.3313728594751805e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.19,0.003285380580040542,4.968253993126953e-4,0,0,1000,NA
40,250,2500,0.8,0.99,0.2,0.0036321205490906093,4.7770269619710316e-4,0,0,1000,NA
40,250,2500,0.99,0.8,0.01,5.147776783912386e-4,6.232996091343848e-4,0,0,1000,NA
40,250,2500,0.99,0.8,0.02,5.206295045090604e-4,6.471248583076739e-4,0,0,1000,NA
40,250,2500,0.99,0.8,0.03,6.448317797795924e-4,7.904759455610547e-4,0,0,1000,NA
40,250,2500,0.99,0.8,0.04,7.605582785416083e-4,8.648420883272517e-4,0,0,1000,NA
40,250,2500,0.99,0.8,0.05,9.555054505212385e-4,9.717455843578299e-4,0,0,1000,NA
40,250,2500,0.99,0.8,0.060000000000000005,0.0011455961137533913,0.0010305111430737371,0,0,1000,NA
40,250,2500,0.99,0.8,0.06999999999999999,0.0013830404802812693,0.00107216489492008,0,0,1000,NA
40,250,2500,0.99,0.8,0.08,0.0015435119943101878,0.001089652350273034,0,0,1000,NA
40,250,2500,0.99,0.8,0.09,0.001697540635190159,9.783488284077285e-4,0,0,1000,NA
40,250,2500,0.99,0.8,0.09999999999999999,0.002034881329648613,0.001078745884788214,0,0,1000,NA
40,250,2500,0.99,0.8,0.11,0.0023584204259922826,0.0011352278197375306,0,0,1000,NA
40,250,2500,0.99,0.8,0.12,0.0024157072269081507,0.0010462994840775592,0,0,1000,NA
40,250,2500,0.99,0.8,0.13,0.002597439630493861,9.708016945223873e-4,0,0,1000,NA
40,250,2500,0.99,0.8,0.14,0.0029800291804418814,0.0010080325949048093,0,0,1000,NA
40,250,2500,0.99,0.8,0.15000000000000002,0.00300102806023993,0.0010374564765726468,0,0,1000,NA
40,250,2500,0.99,0.8,0.16,0.0030581856408075057,9.367102120292707e-4,0,0,1000,NA
40,250,2500,0.99,0.8,0.17,0.0035980465182998502,9.340602371186371e-4,0,0,1000,NA
40,250,2500,0.99,0.8,0.18000000000000002,0.003775391552538144,9.19744597557696e-4,0,0,1000,NA
40,250,2500,0.99,0.8,0.19,0.004380993620001643,0.0010222072886120882,0,0,1000,NA
40,250,2500,0.99,0.8,0.2,0.00466615137930632,9.381488373175802e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.01,1.1873229764861408e-4,1.5209957054371773e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.02,1.7642500033252672e-4,2.0190529231013654e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.03,2.5540427746324653e-4,2.3035134043894727e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.04,3.5866848519697887e-4,2.600392838612866e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.05,4.8461214968911135e-4,2.8324309142663284e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.060000000000000005,5.743733677637242e-4,2.788426533258107e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.06999999999999999,7.21710496493715e-4,2.920143920559033e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.08,8.047127606918603e-4,2.5550408772291106e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.09,0.0010204604392969328,2.888232928386179e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.09999999999999999,0.0011924231737829897,2.656982802640599e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.11,0.0013612009761289749,2.8947033690665893e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.12,0.0015251416494220472,2.6499806295299634e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.13,0.0017693787471942508,2.809828378709631e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.14,0.001946582690157197,2.8098964071969154e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.15000000000000002,0.002314826127325819,2.7401504938375117e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.16,0.002512724214886009,2.9094502520604886e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.17,0.0027984702988891595,2.813924961334806e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.18000000000000002,0.0031619374672327166,2.9263223396305246e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.19,0.003365199023295025,2.7040476136702473e-4,0,0,1000,NA
40,250,2500,0.99,0.95,0.2,0.003908928145524601,2.947907180158547e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.01,3.9627284192967525e-5,4.510457708499209e-5,0,0,1000,NA
40,250,2500,0.99,0.99,0.02,7.967819672951356e-5,5.7845510653301795e-5,0,0,1000,NA
40,250,2500,0.99,0.99,0.03,1.3155843528919907e-4,6.773297935274763e-5,0,0,1000,NA
40,250,2500,0.99,0.99,0.04,2.01221188643369e-4,7.320062685338963e-5,0,0,1000,NA
40,250,2500,0.99,0.99,0.05,2.9421487947729345e-4,8.150412171759923e-5,0,0,1000,NA
40,250,2500,0.99,0.99,0.060000000000000005,3.962392542045736e-4,8.759211222325026e-5,0,0,1000,NA
40,250,2500,0.99,0.99,0.06999999999999999,5.274676178431743e-4,9.656297756736892e-5,0,0,1000,NA
40,250,2500,0.99,0.99,0.08,6.515507450549754e-4,9.689859174890829e-5,0,0,1000,NA
40,250,2500,0.99,0.99,0.09,7.988861900590305e-4,1.1589408302954363e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.09999999999999999,9.482161891282867e-4,1.142075097454752e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.11,0.001138301434300511,1.2517861411850896e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.12,0.0013646630817892903,1.2784202067502875e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.13,0.0015847424117998873,1.3012997582647002e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.14,0.00180286856048771,1.2940555489333167e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.15000000000000002,0.0021023065582801534,1.372775514869034e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.16,0.0023899180105599297,1.526091032126406e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.17,0.0026555706952899123,1.541850107436231e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.18000000000000002,0.0030381254061839853,1.4900824884567335e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.19,0.003293060969787205,1.5594395784004664e-4,0,0,1000,NA
40,250,2500,0.99,0.99,0.2,0.003676457820070566,1.5839962180021148e-4,0,0,1000,NA
