n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,ESE_hat_pi_SRG_restriction,ASE_hat_pi_SRG_restriction,covers_pi_SRG_restriction,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,covers_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRG_restriction,hat_pi_SRGM
40,250,2500,0.8,0.95,0.1806330198259395,0.79865,0.949584,0.1467584,0.021494449489375456,0.021998593004310694,0.34,0.0255015911505871,0.026181049446355006,0.962,0.0255015911505871,0.026181049446355006,0.962,0.024832452509322336,0.025105798474203498,0.955,0,0,0,874,-28.440135666461995,0.5264913271675482,1.21771407281913,1.0660322467074008
40,250,2500,0.8,0.95,0.1900678398849502,0.80215,0.950452,0.1523972,0.022435571551140218,0.022088938206268876,0.31,0.0271699265591621,0.026387493143266605,0.947,0.0271699265591621,0.026387493143266605,0.947,0.02646162727313358,0.025328107684540753,0.955,0,0,0,898,-27.718616655771374,0.41138644325550905,0.15424117856239825,1.0249671662171829
40,250,2500,0.8,0.95,0.1998390882015514,0.802,0.950472,0.1584544,0.021490680338298603,0.02242309523273726,0.3,0.026343978556791853,0.02689795210059067,0.953,0.026343978556791853,0.02689795210059067,0.953,0.025491617061638397,0.02583480684107747,0.956,0,0,0,902,-27.188789825930684,0.44948715388602684,0.8813319750794889,1.089505697775019
40,250,2500,0.8,0.99,0.009912299793487728,0.796,0.989864,0.0155364,0.006733905892471784,0.008400413277666142,0.925,0.008101634172889956,0.009152271817577747,0.913,0.008101634172889956,0.009152271817577747,0.913,0.008000528678541436,0.008843839706275102,0.899,0,0,0,897,-17.7165456288155,12.2531110495235,17.95957760704759,16.33742524437588
40,250,2500,0.8,0.99,0.020076306911179623,0.79845,0.9900599999999999,0.020602,0.008174227231897566,0.008526928839395957,0.975,0.009811049380164572,0.009674827775191571,0.938,0.009811049380164572,0.009674827775191571,0.938,0.009644483642868178,0.009274645535022576,0.916,0,0,0,899,-30.3011140881609,0.8415849338110876,-5.181880301787096,3.9847508433279013
40,250,2500,0.8,0.99,0.029563346468374517,0.801325,0.990224,0.0257728,0.008490209561276598,0.008717134894375304,0.909,0.010378446667793886,0.010297669271706875,0.954,0.010378446667793886,0.010297669271706875,0.954,0.009922315410238438,0.009758863442302187,0.946,0,0,0,914,-30.978951668116846,2.372916669888165,-0.5972858599590347,4.204717686463242
40,250,2500,0.8,0.99,0.03918241873065851,0.80475,0.98986,0.0309564,0.009037517972278308,0.009064090409655823,0.74,0.011158776672705237,0.01094077497497473,0.949,0.011158776672705237,0.01094077497497473,0.949,0.010776592607211212,0.010364411612499411,0.948,0,0,0,894,-32.72853647139601,-0.21020089946789275,0.2563894472079415,1.8795869149508027
40,250,2500,0.8,0.99,0.04999999597153313,0.800025,0.990256,0.036832,0.009118642309906333,0.009342541641183722,0.633,0.011649305345040148,0.011618146449549404,0.95,0.011649305345040148,0.011618146449549404,0.95,0.011037391046405316,0.010945108142416374,0.947,0,0,0,889,-31.10469158410037,0.8919165516608277,-0.5094546239355644,2.5765475005085183
40,250,2500,0.8,0.99,0.06130798519473956,0.8028,0.989976,0.0431884,0.009565847377649827,0.009765204526585908,0.473,0.011823766534206666,0.012384547242795982,0.966,0.011823766534206666,0.012384547242795982,0.966,0.01147792558205226,0.011627716799423957,0.961,0,0,0,886,-31.481077647398294,0.22942653596768448,-0.973706542646191,1.4924698015996694
40,250,2500,0.8,0.99,0.07004357654639723,0.79985,0.990208,0.047966,0.010422489108908521,0.01006812836748715,0.387,0.013433779200495747,0.013030695187050474,0.952,0.013433779200495747,0.013030695187050474,0.952,0.012884010570437818,0.012215413834811784,0.944,0,0,0,909,-30.607088787687225,1.266484459803279,2.4301471619745585,2.40720896877748
