n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,coverage_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,coverage_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,coverage_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,num_negative_var_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.1500062884448126,0.799575,0.80066,0.0861088,0,0.05659921369226318,0,0.06711339004215909,0.0481942039480095,0.526,0.08465184512092773,0.08464821560283035,0.933,0,0,0,0,0,-100,-49.48463468435653,0.996374251006399
40,250,2500,0.8,0.8,0.15999546007525647,0.80285,0.800112,0.0892724,0,0.05600151349016678,0,0.06887487860531159,0.047891071404393755,0.522,0.08346762085817351,0.08347705676326383,0.938,0,0,0,0,0,-100,-48.071299111113866,1.9455902558485663
40,250,2500,0.8,0.8,0.1700305359643858,0.8008,0.800196,0.0929852,0,0.055611057947566024,0,0.07070297973993767,0.04789956380061302,0.498,0.08351485152877768,0.08444502826153241,0.943,0,0,0,0,0,-100,-48.01167743513954,0.35511547845457153
40,250,2500,0.8,0.8,0.17998910113898153,0.8005,0.7995920000000001,0.096068,0,0.05562742675738533,0,0.07075788234952324,0.04799197585447762,0.507,0.0830906126905048,0.08413011290516585,0.95,0,0,0,0,0,-99.99999999999999,-47.32600634530069,-0.35491873683656056
40,250,2500,0.8,0.8,0.19003513655803222,0.79885,0.8008040000000001,0.0995848,0,0.05490823485515133,0,0.07484840265115628,0.04755526269327747,0.515,0.08603962607248386,0.08373086958999296,0.933,0,0,0,0,0,-100,-42.132508502386116,4.165047373073518
40,250,2500,0.8,0.8,0.19999737963987016,0.8022,0.79988,0.1031704,0,0.05434389569887706,0,0.07694414619712443,0.047529029046835744,0.499,0.08558305055656719,0.08308267780426212,0.949,0,0,0,0,0,-100,-41.83856410460887,2.496502044803208
40,250,2500,0.8,0.95,0.010010097821130557,0.79745,0.950484,0.0095172,0,0.02018442358287614,0.01,0.021111530929527708,0.022438341308088094,0.681,0.031483234050546614,0.04287722981086403,0.884,0,0,0,0,0,-100,20.96934253553252,137.3688181437301
40,250,2500,0.8,0.95,0.020010017311304456,0.80135,0.9500759999999999,0.0110928,0,0.02012200908019862,0,0.025520099842285173,0.022470244274467442,0.649,0.03519920691921971,0.0440607195884919,0.899,0,0,0,0,0,-100,-18.954267354772643,47.0981460855159
40,250,2500,0.8,0.95,0.030027283060897098,0.800325,0.949572,0.0124608,8.993960839730933e-5,0.020232321367044136,0,0.028429817358578715,0.02279430539700163,0.617,0.04019600469491758,0.046028575853786155,0.901,0,0,0,0,0,-99.9845107896277,-29.12346644545769,23.58913519972513
40,250,2500,0.8,0.95,0.04001040026322383,0.80265,0.949928,0.014048399999999999,1.3355018775974644e-4,0.020005762025494624,0,0.03280376671521499,0.02296460015274905,0.594,0.044063410928222774,0.04767891789710972,0.906,0,0,0,0,0,-99.98944467507235,-30.858283533631674,15.778773237547114
