n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,n_sims
40,250,2500,0.8,0.95,0.11,-0.6276892260023955,0.02151168209515969,0.021397319583618638,0.964,NA
40,250,2500,0.8,0.95,0.12,1.6107002846462808,0.02167775021248284,0.021548813606439277,0.95,NA
40,250,2500,0.8,0.95,0.13,0.7302902470933297,0.02187991078989333,0.021787697203962307,0.954,NA
40,250,2500,0.8,0.95,0.14,0.10414853081714652,0.021917667867052158,0.02243483665761597,0.96,NA
40,250,2500,0.8,0.95,0.15000000000000002,0.10605516007348528,0.022668572413188058,0.022759129875588795,0.965,NA
40,250,2500,0.8,0.95,0.16,1.290674205784402,0.023941120149948904,0.023536704659441465,0.957,NA
40,250,2500,0.8,0.95,0.17,-0.11245260494516077,0.02374958030722878,0.023672149927784467,0.965,NA
40,250,2500,0.8,0.95,0.18000000000000002,0.46448198606652585,0.025357226645255405,0.024386622155219303,0.95,NA
40,250,2500,0.8,0.95,0.19,0.5930049211418902,0.02506012618619309,0.025051514639039537,0.958,NA
40,250,2500,0.8,0.95,0.2,0.6949249527545276,0.025887620721400065,0.025381355853926448,0.96,NA
40,250,2500,0.8,0.99,0.01,8.722448373550737,0.00775250132426354,0.00843460631670799,0.893,NA
40,250,2500,0.8,0.99,0.02,0.21782789377968945,0.008751841914099098,0.008841819830966408,0.933,NA
40,250,2500,0.8,0.99,0.03,-0.4317631557165455,0.009331529062185802,0.00917989236592534,0.939,NA
40,250,2500,0.8,0.99,0.04,0.2898441533782589,0.009837348996702045,0.0096546477861493,0.948,NA
40,250,2500,0.8,0.99,0.05,0.06886593454659418,0.01037798347792833,0.010131837792577654,0.961,NA
40,250,2500,0.8,0.99,0.060000000000000005,0.3147943415070358,0.011322880204451055,0.010780618636053603,0.95,NA
40,250,2500,0.8,0.99,0.06999999999999999,0.9755548372596521,0.011093718633602322,0.011290414618223863,0.967,NA
40,250,2500,0.8,0.99,0.08,0.7011824720206533,0.011888823347807309,0.011944556712014174,0.965,NA
40,250,2500,0.8,0.99,0.09,-0.49694717815812783,0.012343902280841814,0.012508298996346777,0.961,NA
40,250,2500,0.8,0.99,0.09999999999999999,0.7424318775021422,0.012978026321892601,0.013085753382903256,0.964,NA
40,250,2500,0.8,0.99,0.11,1.1540012584291093,0.01391685999032978,0.013801430885425427,0.96,NA
40,250,2500,0.8,0.99,0.12,0.2725528506116598,0.014445402481561842,0.01441702853889663,0.956,NA
40,250,2500,0.8,0.99,0.13,0.2923114910759515,0.014747634691674281,0.015010241985773567,0.952,NA
40,250,2500,0.8,0.99,0.14,0.3038166828340476,0.016085369456277428,0.015747113846704745,0.947,NA
40,250,2500,0.8,0.99,0.15000000000000002,0.13507849348095197,0.016743951507348535,0.01646767073711511,0.947,NA
40,250,2500,0.8,0.99,0.16,0.21586499949254392,0.01707854801310282,0.017201226975435274,0.956,NA
40,250,2500,0.8,0.99,0.17,0.785602777127731,0.01829443296352124,0.017972281004285114,0.956,NA
40,250,2500,0.8,0.99,0.18000000000000002,0.929808080433855,0.01910272363748388,0.01884040628162202,0.943,NA
40,250,2500,0.8,0.99,0.19,0.7474215767824518,0.019871442027069062,0.019348608665030683,0.935,NA
40,250,2500,0.8,0.99,0.2,0.43051909534558286,0.020635564895186833,0.020103178862017162,0.926,NA
40,250,2500,0.99,0.8,0.01,95.74493591189557,0.02311388334575594,0.033338951716167575,0.933,NA
40,250,2500,0.99,0.8,0.02,28.334920684918195,0.025538854001718826,0.033187474893908,0.943,NA
40,250,2500,0.99,0.8,0.03,3.7610403662782095,0.026725843255509283,0.03309814029518198,0.95,NA
40,250,2500,0.99,0.8,0.04,2.9075374110825063,0.028498459306460912,0.03269866817721262,0.953,NA
40,250,2500,0.99,0.8,0.05,3.6961493068487363,0.029934957638711755,0.03223254404304623,0.946,NA
40,250,2500,0.99,0.8,0.060000000000000005,-0.08376101838795252,0.030567077974006842,0.032134443682397866,0.939,NA
40,250,2500,0.99,0.8,0.06999999999999999,0.5456289354276961,0.03079978404598992,0.0318180021783992,0.941,NA
40,250,2500,0.99,0.8,0.08,-0.9715871826087088,0.03220602862406532,0.03168106307914766,0.944,NA
40,250,2500,0.99,0.8,0.09,-2.6009450443657514,0.031421464557737165,0.03155863179638046,0.959,NA
40,250,2500,0.99,0.8,0.09999999999999999,-1.7884382924652915,0.03201006429277574,0.031202927956444776,0.943,NA
40,250,2500,0.99,0.8,0.11,0.07144770597475314,0.030843596191727458,0.030878500996779152,0.96,NA
40,250,2500,0.99,0.8,0.12,-1.4600411091459167,0.0312495595909038,0.03077607368999655,0.945,NA
40,250,2500,0.99,0.8,0.13,0.18762078748374433,0.03023737707864013,0.030296347383745686,0.949,NA
40,250,2500,0.99,0.8,0.14,0.3024301898710478,0.02908262676220977,0.030090696947371154,0.943,NA
