n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,n_sims
3000,30,5000,0.7,1,0.05,-0.0653283666282034,0.0037457670932974883,0.0037569501131960283,0.9484,NA
3000,30,5000,0.7,1,0.3,-0.008870742352932542,0.00898287548276379,0.008975479052307873,0.9486,NA
3000,30,20000,0.7,0.7,0.05,81.83953180958426,0.1017360243017792,0.24021318172366918,0.9268,NA
3000,30,20000,0.7,0.7,0.3,-6.895717995136792,0.14205376107303366,0.18215617998251818,0.9231,NA
3000,30,20000,0.7,0.95,0.05,15.39570887078806,0.042307813805627335,0.0532829247880435,0.7766,NA
3000,30,20000,0.7,0.95,0.3,-1.1790685800441292,0.04620438051331673,0.0413104040475144,0.7904,NA
3000,30,20000,0.7,1,0.05,0.031078285150046292,0.001939629361416097,0.0019504881649699843,0.9512,NA
3000,30,20000,0.7,1,0.3,-0.003947431723198373,0.0054830838070269745,0.005458695153427569,0.9511,NA
3000,300,500,0.7,0.7,0.05,25.384658509773534,0.060037336778778365,0.08249339416435415,0.9636,NA
3000,300,500,0.7,0.7,0.3,-0.5868856635427763,0.07282336391293191,0.07292813766480605,0.9506,NA
3000,300,500,0.7,0.95,0.05,0.31326560795048863,0.02539346218246669,0.026397258929622705,0.9695,NA
3000,300,500,0.7,0.95,0.3,0.1487983909911894,0.03299196581740651,0.03280751273089125,0.9494,NA
3000,300,500,0.7,1,0.05,0.11985319598771527,0.011773462577276933,0.011674341232237356,0.9357,NA
3000,300,500,0.7,1,0.3,0.011457801832944389,0.026327422665812727,0.026231762519946168,0.9472,NA
3000,300,5000,0.7,0.7,0.05,11.91064808764339,0.04967306631840412,0.06599834574681283,0.9546,NA
3000,300,5000,0.7,0.7,0.3,-1.208378671879525,0.050854762129426294,0.05065961296717407,0.9516,NA
3000,300,5000,0.7,0.95,0.05,-0.16984185380954087,0.019221472829695656,0.019293127535149005,0.9433,NA
3000,300,5000,0.7,0.95,0.3,-0.10104204853465341,0.01699949059465313,0.016939776492945473,0.9498,NA
3000,300,5000,0.7,1,0.05,0.0274818437613622,0.003787911500324606,0.0037587158126243655,0.9488,NA
3000,300,5000,0.7,1,0.3,0.04043883189763786,0.00899294402113861,0.008979434850471795,0.95,NA
3000,300,20000,0.7,0.7,0.05,12.80627407296822,0.04876994033770187,0.06415613146093917,0.954,NA
3000,300,20000,0.7,0.7,0.3,-1.2143672341458265,0.04879057591311945,0.04831631515301442,0.947,NA
3000,300,20000,0.7,0.95,0.05,-0.12347254665530383,0.018467837551350657,0.01855588150364846,0.9438,NA
3000,300,20000,0.7,0.95,0.3,0.03099995989421419,0.014959660184083887,0.014798994938020633,0.9375,NA
3000,300,20000,0.7,1,0.05,0.019096943622912144,0.0019221129454918317,0.0019503964317196343,0.9512,NA
3000,300,20000,0.7,1,0.3,0.009672888126569894,0.005407843825530195,0.005458251108106013,0.9508,NA
3000,3000,500,0.7,0.7,0.05,9.164820671493224,0.04718364071782942,0.05586056339143046,0.9752,NA
3000,3000,500,0.7,0.7,0.3,0.24514977127707932,0.05740111440207959,0.05745364318356205,0.9496,NA
3000,3000,500,0.7,0.95,0.05,-0.0649088528051206,0.019800571405820203,0.01975953576440492,0.9497,NA
3000,3000,500,0.7,0.95,0.3,-0.09756898093303083,0.03054910438267152,0.030108321970603306,0.9474,NA
3000,3000,500,0.7,1,0.05,0.09884714826674523,0.011716235816766198,0.011673737570217047,0.9357,NA
3000,3000,500,0.7,1,0.3,-0.004523762804057678,0.026233893879513248,0.026233975756294072,0.9473,NA
3000,3000,5000,0.7,0.7,0.05,-0.04405417155861624,0.024932794723189898,0.02589802965954713,0.9744,NA
3000,3000,5000,0.7,0.7,0.3,-0.09022323246597279,0.02383634789859546,0.023650046856399567,0.9508,NA
3000,3000,5000,0.7,0.95,0.05,-0.1144389637798976,0.008405948084264602,0.008375499281221582,0.9487,NA
3000,3000,5000,0.7,0.95,0.3,-0.030095002194770647,0.010961982845793476,0.011000577186286444,0.9508,NA
3000,3000,5000,0.7,1,0.05,0.1261218738106279,0.003750035466444144,0.0037606618390762926,0.9471,NA
