n_1,n_2,n_3,sigma_e,sigma_p,pi,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,sims_w_positivity,hat_pi_SRG_restriction,n_sims
40,250,2500,0.8,0.99,0.09096698904891533,-94.18007595468222,NaN,2.5655321908133675,0,0,0,0,-43.68644049660106,NA
40,250,2500,0.8,0.99,0.09979329355484201,-94.58305521216225,NaN,3.8101154449265087,0,0,0,0,-42.080379994628196,NA
40,250,2500,0.8,0.99,0.11166570402924707,-94.81254184634024,NaN,6.053714828013019,0,0,0,0,-41.62409090323324,NA
40,250,2500,0.8,0.99,0.12009494391924055,-94.78163824300096,NaN,3.0416961246025056,0,0,0,0,-42.00877438493671,NA
40,250,2500,0.8,0.99,0.12892777914354636,-94.80554843703344,NaN,2.088048540979607,0,0,0,0,-42.81131721586564,NA
40,250,2500,0.8,0.99,0.13815330303559484,-94.87266936446946,NaN,3.3611406138231312,0,0,0,0,-42.64285726557261,NA
40,250,2500,0.8,0.99,0.15070892038993944,-95.15320691620637,NaN,2.538020254590462,0,0,0,0,-41.90126738485455,NA
40,250,2500,0.8,0.99,0.15975373504705917,-95.05696149321079,NaN,3.4863844474806105,0,0,0,0,-41.487092141503574,NA
40,250,2500,0.8,0.99,0.17011870464146817,-94.9593068362339,NaN,-2.247063579296802,0,0,0,0,-43.81751609217812,NA
40,250,2500,0.8,0.99,0.18078997708607034,-95.06545475143061,NaN,0.37481896076478094,0,0,0,0,-42.76759879370147,NA
40,250,2500,0.8,0.99,0.18952788589141298,-94.88248125366748,NaN,2.0238993478631087,0,0,0,0,-42.526899524381854,NA
40,250,2500,0.8,0.99,0.20067460402269593,-94.81310722795983,NaN,2.3972590096659125,0,0,0,0,-41.91922180740342,NA
40,250,2500,0.99,0.8,0.01060163975242771,33.52785618496467,NaN,326.64329189280755,0,0,0,0,167.75405632864766,NA
40,250,2500,0.99,0.8,0.02077070959865541,-35.79115696207953,NaN,123.36837479490715,0,0,0,0,37.81623053044641,NA
